TEAM,Total,Passing,Rushing,Points,GP,YDS,YDS/G,PTS,PTS/G
Kansas City Chiefs,16,6810,425.6,4955,309.7,1855,115.9,565,35.3
Los Angeles Rams,16,6738,421.1,4507,281.7,2231,139.4,527,32.9
Tampa Bay Buccaneers,16,6648,415.5,5125,320.3,1523,95.2,396,24.8
Pittsburgh Steelers,16,6453,403.3,5008,313.0,1445,90.3,428,26.8
New England Patriots,16,6295,393.4,4258,266.1,2037,127.3,436,27.3
Atlanta Falcons,16,6226,389.1,4653,290.8,1573,98.3,414,25.9
Indianapolis Colts,16,6179,386.2,4461,278.8,1718,107.4,433,27.1
New Orleans Saints,16,6067,379.2,4042,252.6,2025,126.6,504,31.5
Baltimore Ravens,16,5999,374.9,3558,222.4,2441,152.6,389,24.3
Carolina Panthers,16,5972,373.3,3836,239.8,2136,133.5,376,23.5
Los Angeles Chargers,16,5962,372.6,4089,255.6,1873,117.1,428,26.8
Green Bay Packers,16,5905,369.1,4238,264.9,1667,104.2,376,23.5
Cleveland Browns,16,5900,368.8,4007,250.4,1893,118.3,359,22.4
Philadelphia Eagles,16,5845,365.3,4275,267.2,1570,98.1,367,22.9
Houston Texans,16,5802,362.6,3781,236.3,2021,126.3,402,25.1
San Francisco 49ers,16,5769,360.6,3867,241.7,1902,118.9,342,21.4
New York Giants,16,5697,356.1,4047,252.9,1650,103.1,369,23.1
Seattle Seahawks,16,5653,353.3,3093,193.3,2560,160.0,428,26.8
Denver Broncos,16,5602,350.1,3695,230.9,1907,119.2,329,20.6
Minnesota Vikings,16,5529,345.6,4036,252.3,1493,93.3,360,22.5
Chicago Bears,16,5502,343.9,3564,222.8,1938,121.1,421,26.3
Dallas Cowboys,16,5501,343.8,3538,221.1,1963,122.7,339,21.2
Oakland Raiders,16,5379,336.2,3751,234.4,1628,101.8,290,18.1
Detroit Lions,16,5236,327.3,3576,223.5,1660,103.8,324,20.3
Tennessee Titans,16,4998,312.4,2975,185.9,2023,126.4,310,19.4
Cincinnati Bengals,16,4972,310.8,3290,205.6,1682,105.1,368,23.0
Jacksonville Jaguars,16,4832,302.0,3109,194.3,1723,107.7,245,15.3
Washington Redskins,16,4795,299.7,3021,188.8,1774,110.9,281,17.6
New York Jets,16,4787,299.2,3165,197.8,1622,101.4,333,20.8
Buffalo Bills,16,4778,298.6,2794,174.6,1984,124.0,269,16.8
Miami Dolphins,16,4638,289.9,2900,181.3,1738,108.6,319,19.9
Arizona Cardinals,16,3865,241.6,2523,157.7,1342,83.9,225,14.1
