,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vADP,Yahoo!vFP,Round,Pick
,Christian McCaffrey,SF,9,RB,1,1,1,0.00,0.00,1,1
,CeeDee Lamb,DAL,7,WR,2,2,2,0.00,0.00,,2
,Tyreek Hill,MIA,6,WR,2,3,3,0.50,0.00,,3
,Breece Hall,NYJ,12,RB,6,6,4,-0.33,-0.33,,4
,Bijan Robinson,ATL,12,RB,4,7,5,0.25,-0.29,,5
,Ja'Marr Chase,CIN,12,WR,7,4,6,-0.14,0.50,,6
,Justin Jefferson,MIN,6,WR,4,5,7,0.75,0.40,,7
,Amon-Ra St. Brown,DET,5,WR,7,8,8,0.14,0.00,,8
,Garrett Wilson,NYJ,12,WR,13,10,9,-0.31,-0.10,,9
,A.J. Brown,PHI,5,WR,9,9,10,0.11,0.11,,10
,Jonathan Taylor,IND,14,RB,10,11,11,0.10,0.00,,11
,Derrick Henry,BAL,14,RB,18,14,12,-0.33,-0.14,,12
,Puka Nacua,LAR,6,WR,14,13,13,-0.07,0.00,2,13
,Saquon Barkley,PHI,5,RB,10,12,14,0.40,0.17,,14
,Jahmyr Gibbs,DET,5,RB,12,15,15,0.25,0.00,,15
,Marvin Harrison,ARI,11,WR,15,17,16,0.07,-0.06,,16
,Kyren Williams,LAR,6,RB,17,20,17,0.00,-0.15,,17
,Isiah Pacheco,KC,6,RB,24,27,18,-0.25,-0.33,,18
,Drake London,ATL,12,WR,21,22,19,-0.10,-0.14,,19
,Davante Adams,LV,10,WR,20,28,20,0.00,-0.29,,20
,Mike Evans,TB,11,WR,37,18,21,-0.43,0.17,,21
,Travis Etienne,JAC,12,RB,16,26,22,0.38,-0.15,,22
,Chris Olave,NO,12,WR,25,25,23,-0.08,-0.08,,23
,Nico Collins,HOU,14,WR,27,21,24,-0.11,0.14,,24
,De'Von Achane,MIA,6,RB,18,37,25,0.39,-0.32,3,25
,Cooper Kupp,LAR,6,WR,32,35,26,-0.19,-0.26,,26
,Deebo Samuel,SF,9,WR,26,16,27,0.04,0.69,,27
,Brandon Aiyuk,SF,9,WR,35,24,28,-0.20,0.17,,28
,Travis Kelce,KC,6,TE,28,34,29,0.04,-0.15,,29
