Rank,Player,Team,Position,Pass_Yds,Pass_TD,Pass_Int,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Ret_TD,Fum_TD,2PT,Lost,Fantasy_Points,Games_Played,Avg_Points,TGP,TAVG
1,Christian McCaffrey,RB,SF,-,-,-,1459,14,67,564,7,-,-,-,2,391.30,16,24.46,17,23.02
2,Breece Hall,RB,NYJ,-,-,-,994,5,76,591,4,-,-,1,-,290.50,17,17.09,17,17.09
3,Travis Etienne,RB,JAX,-,-,-,1008,11,58,476,1,-,-,2,-,282.40,17,16.61,17,16.61
4,Rachaad White,RB,TB,-,-,-,990,6,64,549,3,-,-,-,2,267.90,17,15.76,17,15.76
5,Raheem Mostert,RB,MIA,-,-,-,1012,18,25,175,3,-,-,-,1,267.70,15,17.85,17,15.75
6,Joe Mixon,RB,HOU,-,-,-,1034,9,52,376,3,-,-,1,-,267.00,17,15.71,17,15.71
7,Kyren Williams,RB,LAR,-,-,-,1144,12,32,206,3,-,-,1,2,255.00,12,21.25,17,15.00
8,Derrick Henry,RB,BAL,14,2,-,1167,12,28,214,-,-,-,-,-,246.66,17,14.51,17,14.51
9,Bijan Robinson,RB,ATL,-,-,-,976,4,58,487,4,-,-,-,3,246.30,17,14.49,17,14.49
10,Jahmyr Gibbs,RB,DET,-,-,-,945,10,52,316,1,-,-,-,1,242.10,15,16.14,17,14.24
11,Alvin Kamara,RB,NO,-,-,-,694,5,75,466,1,-,-,3,-,233.00,13,17.92,17,13.71
12,James Cook,RB,BUF,-,-,-,1122,2,44,445,4,-,-,-,2,232.70,17,13.69,17,13.69
13,Saquon Barkley,RB,PHI,-,-,-,962,6,41,280,4,-,-,1,2,223.20,14,15.94,17,13.13
14,Tony Pollard,RB,TEN,-,-,-,1005,6,55,311,-,-,-,1,1,222.60,17,13.09,17,13.09
15,Isiah Pacheco,RB,KC,-,-,-,935,7,44,244,2,-,-,-,1,213.90,14,15.28,17,12.58
16,Jerome Ford,RB,CLE,-,-,-,813,4,44,319,5,-,-,1,1,211.20,17,12.42,17,12.42
17,David Montgomery,RB,DET,-,-,-,1015,13,16,117,-,-,-,1,1,207.20,14,14.80,17,12.19
18,James Conner,RB,ARI,-,-,-,1040,7,27,165,2,-,-,-,-,201.50,13,15.50,17,11.85
19,Kenneth Walker III,RB,SEA,-,-,-,905,8,29,259,1,-,-,-,-,199.40,15,13.29,17,11.73
20,D'Andre Swift,RB,CHI,-,-,-,1049,5,39,214,1,-,-,-,1,199.30,16,12.46,17,11.72
21,Brian Robinson,RB,WAS,-,-,-,733,5,36,368,4,-,-,1,2,198.10,15,13.21,17,11.65
22,Jaylen Warren,RB,PIT,-,-,-,784,4,61,370,-,-,-,-,2,196.40,17,11.55,17,11.55
23,Najee Harris,RB,PIT,-,-,-,1035,8,29,170,-,-,-,-,1,195.50,17,11.50,17,11.50
24,De'Von Achane,RB,MIA,-,-,-,800,8,27,197,3,-,-,-,1,190.70,11,17.34,17,11.22
25,Gus Edwards,RB,LAC,-,-,-,810,13,12,180,-,-,-,1,2,187.00,17,11.00,17,11.00
26,Austin Ekeler,RB,WAS,-,-,-,628,5,51,436,1,-,-,-,4,185.40,14,13.24,17,10.91
27,Chuba Hubbard,RB,CAR,-,-,-,902,5,39,233,-,-,-,-,-,182.50,17,10.74,17,10.74
28,Josh Jacobs,RB,GB,-,-,-,805,6,37,296,-,-,-,-,1,181.10,13,13.93,17,10.65
29,Javonte Williams,RB,DEN,-,-,-,774,3,47,228,2,-,-,2,1,179.20,16,11.20,17,10.54
30,Ezekiel Elliott,RB,LAC,-,-,-,642,3,51,313,2,-,-,-,1,174.50,17,10.26,17,10.26
31,Zack Moss,RB,CIN,-,-,-,794,5,27,192,2,-,-,1,-,169.60,14,12.11,17,9.98
32,Devin Singletary,RB,NYG,6,1,-,898,4,30,193,-,-,-,-,-,167.34,17,9.84,17,9.84
33,Jonathan Taylor,RB,IND,-,-,-,741,7,19,153,1,-,-,-,-,156.40,10,15.64,17,9.20
34,Tyjae Spears,RB,TEN,-,-,-,453,2,52,385,1,-,-,-,-,153.80,17,9.05,17,9.05
35,Rhamondre Stevenson,RB,NE,-,-,-,619,4,38,238,-,-,-,-,1,145.70,12,12.14,17,8.57
36,Tyler Allgeier,RB,ATL,-,-,-,683,4,18,193,1,-,-,1,-,137.60,17,8.09,17,8.09
37,Aaron Jones,RB,MIN,-,-,-,656,2,30,233,1,-,-,-,1,134.90,11,12.26,17,7.94
38,Alexander Mattison,RB,LV,-,-,-,700,-,30,192,3,-,-,-,2,133.20,16,8.33,17,7.84
39,Antonio Gibson,RB,NE,-,-,-,265,1,48,389,2,-,-,-,2,127.40,16,7.96,17,7.49
40,Samaje Perine,RB,KC,-,-,-,238,1,50,455,-,-,-,-,2,121.30,17,7.14,17,7.14
41,Kareem Hunt,RB,KC,-,-,-,411,9,15,84,-,-,-,-,-,118.50,15,7.90,17,6.97
42,AJ Dillon,RB,GB,-,-,-,613,2,22,223,-,-,-,-,-,117.60,15,7.84,17,6.92
43,Khalil Herbert,RB,CIN,-,-,-,611,2,20,134,1,-,-,1,1,112.50,12,9.38,17,6.62
44,Justice Hill,RB,BAL,-,-,-,387,3,28,206,1,-,-,-,1,109.30,16,6.83,17,6.43
45,Zach Charbonnet,RB,SEA,-,-,-,462,1,33,209,-,-,-,-,-,106.10,16,6.63,17,6.24
46,Jaleel McLaughlin,RB,DEN,-,-,-,410,1,31,160,2,-,-,-,-,106.00,17,6.24,17,6.24
47,Roschon Johnson,RB,CHI,-,-,-,352,2,34,209,-,-,-,-,-,102.10,15,6.81,17,6.01
48,Ty Chandler,RB,MIN,-,-,-,461,3,21,159,-,-,-,-,-,101.00,16,6.31,17,5.94
49,Kenneth Gainwell,RB,PHI,17,-,-,364,2,30,183,-,-,-,1,1,97.38,16,6.09,17,5.73
50,Rico Dowdle,RB,DAL,-,-,-,361,2,17,144,2,-,-,-,-,91.50,16,5.72,17,5.38
51,D'Onta Foreman,RB,CLE,-,-,-,425,4,11,77,1,-,-,-,-,91.20,10,9.12,17,5.36
52,Miles Sanders,RB,CAR,-,-,-,432,1,27,154,-,-,-,-,2,87.60,16,5.48,17,5.15
53,Dameon Pierce,RB,HOU,-,-,-,416,2,13,101,-,1,-,-,-,82.70,14,5.91,17,4.86
54,Zamir White,RB,LV,-,-,-,451,1,15,98,-,-,-,-,1,73.90,13,5.68,17,4.35
55,Emari Demercado,RB,ARI,-,-,-,284,2,21,119,-,-,-,-,-,73.30,12,6.11,17,4.31
56,Clyde Edwards-Helaire,RB,NO,-,-,-,223,1,17,188,1,-,-,-,-,70.10,15,4.67,17,4.12
57,Keaton Mitchell,RB,BAL,-,-,-,396,2,9,93,-,-,-,-,-,69.90,7,9.99,17,4.11
58,Joshua Kelley,RB,TEN,-,-,-,405,2,8,32,-,-,-,-,1,61.70,17,3.63,17,3.63
59,Jamaal Williams,RB,NO,-,-,-,306,1,18,62,-,-,-,-,-,60.80,13,4.68,17,3.58
60,Michael Carter,RB,ARI,-,-,-,187,-,24,101,1,-,-,-,-,58.80,15,3.92,17,3.46
61,Chase Brown,RB,CIN,-,-,-,179,-,14,156,1,-,-,-,-,53.50,12,4.46,17,3.15
62,Elijah Mitchell,RB,SF,-,-,-,281,2,6,14,-,-,-,-,-,47.50,11,4.32,17,2.79
63,Matt Breida,,,-,-,-,151,1,17,88,-,-,-,-,-,46.90,15,3.13,0,0
64,Cam Akers,RB,MIN,-,-,-,167,2,11,70,-,-,-,-,-,46.70,7,6.67,17,2.75
65,Royce Freeman,RB,CHI,-,-,-,319,2,1,13,-,-,-,-,-,46.20,11,4.20,17,2.72
