Rank,Player,Team,Position,Pass_Yds,Pass_TD,Pass_Int,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Ret_TD,Fum_TD,2PT,Lost,Fantasy_Points,Games_Played,Avg_Points,TGP,TAVG
1,CeeDee Lamb,WR,DAL,-,-,-,113,2,135,1749,12,-,-,1,2,403.20,17,23.72,17,23.72
2,Tyreek Hill,WR,MIA,-,-,-,15,-,119,1799,13,-,-,-,1,376.40,16,23.53,17,22.14
3,Amon-Ra St. Brown,WR,DET,-,-,-,24,-,119,1515,10,-,-,-,1,330.90,16,20.68,17,19.46
4,Puka Nacua,WR,LAR,-,-,-,89,-,105,1486,6,-,-,-,-,298.50,17,17.56,17,17.56
5,A.J. Brown,WR,PHI,-,-,-,-,-,106,1456,7,-,-,-,2,289.60,17,17.04,17,17.04
6,DJ Moore,WR,CHI,-,-,-,21,1,96,1364,8,-,-,-,1,286.50,17,16.85,17,16.85
7,Mike Evans,WR,TB,-,-,-,-,-,79,1255,13,-,-,-,-,282.50,17,16.62,17,16.62
8,Keenan Allen,WR,CHI,49,1,-,6,-,108,1243,7,-,-,-,1,278.86,13,21.45,17,16.40
9,Stefon Diggs,WR,HOU,-,-,-,5,-,107,1183,8,-,-,1,1,273.80,17,16.11,17,16.11
10,Davante Adams,WR,NYJ,-,-,-,-,-,103,1144,8,-,-,-,-,265.40,17,15.61,17,15.61
11,Ja'Marr Chase,WR,CIN,-7,-,-,-6,-,100,1216,7,-,-,-,-,262.72,16,16.42,17,15.45
12,Nico Collins,WR,HOU,-,-,-,7,-,80,1297,8,-,-,1,-,260.40,15,17.36,17,15.32
13,Michael Pittman,WR,IND,-,-,-,-,-,109,1152,4,-,-,2,1,250.20,16,15.64,17,14.72
14,Brandon Aiyuk,WR,SF,-,-,-,-,-,75,1342,7,-,-,-,1,249.20,16,15.58,17,14.66
15,Deebo Samuel Sr.,WR,SF,-,-,-,225,5,60,892,7,-,-,-,-,243.70,15,16.25,17,14.34
16,Chris Olave,WR,NO,-,-,-,-,-,87,1123,5,-,-,1,-,231.30,16,14.46,17,13.61
17,Adam Thielen,WR,CAR,-,-,-,6,-,103,1014,4,-,-,1,-,231.00,17,13.59,17,13.59
18,Calvin Ridley,WR,TEN,-,-,-,23,-,76,1016,8,-,-,1,-,229.90,17,13.52,17,13.52
19,DeVonta Smith,WR,PHI,-,-,-,-,-,81,1066,7,-,-,-,1,227.60,16,14.23,17,13.39
20,Amari Cooper,WR,BUF,-,-,-,-,-,72,1250,5,-,-,1,1,227.00,15,15.13,17,13.35
21,DK Metcalf,WR,SEA,-,-,-,-,-,66,1114,8,-,-,-,-,225.40,16,14.09,17,13.26
22,DeAndre Hopkins,WR,KC,-,-,-,9,-,75,1057,7,-,-,-,-,223.60,17,13.15,17,13.15
23,Jordan Addison,WR,MIN,-,-,-,2,-,70,911,10,-,-,-,-,221.30,17,13.02,17,13.02
24,Jakobi Meyers,WR,LV,12,1,-,24,2,71,807,8,-,-,-,-,218.58,16,13.66,17,12.86
25,Jayden Reed,WR,GB,-,-,-,119,2,64,793,8,-,-,1,-,217.20,16,13.58,17,12.78
26,Garrett Wilson,WR,NYJ,-,-,-,-,-,95,1042,3,-,-,-,2,213.20,17,12.54,17,12.54
27,Rashee Rice,WR,KC,-,-,-,-3,-,79,938,7,-,-,-,1,212.50,16,13.28,17,12.50
28,Chris Godwin,WR,TB,-,-,-,38,1,83,1024,2,-,-,1,-,209.20,17,12.31,17,12.31
29,Terry McLaurin,WR,WAS,-,-,-,-,-,79,1002,4,-,1,-,-,209.20,17,12.31,17,12.31
30,George Pickens,WR,PIT,-,-,-,18,-,63,1140,5,-,-,-,-,208.80,17,12.28,17,12.28
31,Zay Flowers,WR,BAL,-,-,-,56,1,77,858,5,-,-,1,-,206.40,16,12.90,17,12.14
32,Tyler Lockett,WR,SEA,-,-,-,-,-,79,894,5,-,-,2,-,202.40,17,11.91,17,11.91
33,Justin Jefferson,WR,MIN,-,-,-,-12,-,68,1074,5,-,-,-,1,202.20,10,20.22,17,11.89
34,Jaylen Waddle,WR,MIA,-,-,-,12,-,72,1014,4,-,-,-,-,198.60,14,14.19,17,11.68
35,Courtland Sutton,WR,DEN,-,-,-,-,-,59,772,10,-,-,-,3,190.20,16,11.89,17,11.19
36,Romeo Doubs,WR,GB,-,-,-,-,-,59,674,8,-,-,-,-,174.40,17,10.26,17,10.26
37,Drake London,WR,ATL,22,-,-,-,-,69,905,2,-,-,1,-,174.38,16,10.90,17,10.26
38,Brandin Cooks,WR,DAL,-,-,-,35,-,54,657,8,-,-,1,-,173.20,16,10.83,17,10.19
39,Tank Dell,WR,HOU,-,-,-,51,-,47,709,7,-,-,-,-,165.00,10,16.50,17,9.71
40,Cooper Kupp,WR,LAR,-,-,-,-3,-,59,737,5,-,-,1,-,164.40,12,13.70,17,9.67
41,Gabe Davis,WR,JAX,-,-,-,-2,-,45,746,7,-,-,1,1,161.40,16,10.09,17,9.49
42,Curtis Samuel,WR,BUF,-,-,-,39,1,62,613,4,-,-,-,-,157.20,16,9.83,17,9.25
43,Josh Downs,WR,IND,-,-,-,-,-,68,771,2,-,-,-,-,157.10,17,9.24,17,9.24
44,Rashid Shaheed,WR,NO,-,-,-,37,-,46,719,5,1,-,-,1,155.60,15,10.37,17,9.15
45,Diontae Johnson,WR,HOU,-,-,-,-,-,51,717,5,-,-,-,-,152.70,13,11.75,17,8.98
46,Darius Slayton,WR,NYG,-,-,-,-,-,50,770,4,-,-,-,-,151.00,17,8.88,17,8.88
47,Christian Kirk,WR,JAX,-1,-,-,6,-,57,787,3,-,-,-,2,150.26,12,12.52,17,8.84
48,Jaxon Smith-Njigba,WR,SEA,-,-,-,-,-,63,628,4,-,-,-,-,149.80,17,8.81,17,8.81
49,Tyler Boyd,WR,TEN,-,-,1,11,-,67,667,2,-,-,-,-,144.80,17,8.52,17,8.52
50,Jerry Jeudy,WR,CLE,-,-,-,-,-,54,758,2,-,-,-,-,141.80,16,8.86,17,8.34
51,Tee Higgins,WR,CIN,-,-,-,-,-,42,656,5,-,-,-,-,137.60,12,11.47,17,8.09
52,Marquise Brown,WR,KC,-,-,-,23,-,51,574,4,-,-,-,-,134.70,13,10.36,17,7.92
