Team,Avg,Rank,Sack,Int,Fum_Rec,TD,Saf,Ret_TD,Pts_Allow,Year
Cleveland Browns,11.94,32,66,23,11,3,-,2,250,2024
Tennessee Titans,11.00,31,52,21,13,6,-,1,307,2024
New York Giants,9.71,30,48,13,10,5,-,1,273,2024
Las Vegas Raiders,9.06,29,50,16,13,3,1,-,303,2024
New England Patriots,8.53,28,52,11,12,2,-,1,283,2024
Seattle Seahawks,8.47,27,54,16,8,2,2,1,349,2024
Chicago Bears,7.65,26,68,7,9,-,1,-,304,2024
Dallas Cowboys,7.47,25,38,14,14,2,-,-,344,2024
Miami Dolphins,7.35,23,43,10,11,2,2,-,345,2024
New Orleans Saints,7.35,23,37,12,7,4,-,-,336,2024
Indianapolis Colts,7.29,22,32,19,10,2,-,1,371,2024
New York Jets,6.47,20,40,11,8,2,1,-,338,2024
Houston Texans,6.47,20,54,12,7,-,1,-,352,2024
Jacksonville Jaguars,6.29,19,32,15,9,-,1,-,314,2024
Carolina Panthers,6.18,18,36,15,7,2,-,-,341,2024
Pittsburgh Steelers,6.12,15,49,6,11,2,-,-,374,2024
San Francisco 49ers,6.12,15,36,16,11,-,-,1,383,2024
Atlanta Falcons,6.12,15,32,19,5,2,1,-,363,2024
Cincinnati Bengals,6.06,14,48,9,13,3,-,-,458,2024
Minnesota Vikings,5.94,13,49,12,9,1,1,-,414,2024
Arizona Cardinals,5.41,12,30,11,9,2,-,-,396,2024
Kansas City Chiefs,4.71,11,41,11,3,-,-,-,379,2024
Tampa Bay Buccaneers,4.65,9,40,16,7,-,-,1,494,2024
Washington Commanders,4.65,9,50,9,7,-,-,2,479,2024
Los Angeles Rams,4.47,8,31,9,5,-,-,-,347,2024
Philadelphia Eagles,4.35,7,45,6,9,2,-,-,455,2024
Los Angeles Chargers,4.24,6,44,3,6,-,1,-,396,2024
Green Bay Packers,4.06,5,22,11,8,2,-,1,454,2024
Denver Broncos,4.00,4,24,12,7,-,-,-,391,2024
Detroit Lions,2.71,3,33,12,3,1,1,-,558,2024
Buffalo Bills,1.41,2,14,6,2,1,-,1,505,2024
Baltimore Ravens,1.35,1,24,4,7,-,2,-,506,2024
