Team,Avg,Rank,Sack,Int,Fum_Rec,TD,Saf,Ret_TD,Pts_Allow,Year
New York Jets,9.13,32,31,12,3,3,1,-,185,2020
Philadelphia Eagles,8.81,31,56,19,8,1,2,-,273,2020
Denver Broncos,8.69,30,30,18,9,2,2,1,268,2020
New York Giants,8.63,29,33,9,8,1,1,1,211,2020
San Francisco 49ers,8.44,27,30,12,11,1,-,1,287,2020
Cincinnati Bengals,8.44,27,45,9,13,2,-,-,251,2020
Washington Commanders,8.25,26,42,15,9,1,-,-,256,2020
Dallas Cowboys,7.56,25,37,9,9,3,3,-,318,2020
Jacksonville Jaguars,7.38,24,38,12,6,-,1,-,241,2020
New England Patriots,7.00,23,31,9,3,1,-,-,292,2020
Detroit Lions,6.81,22,37,10,8,3,-,-,278,2020
Los Angeles Rams,6.69,20,23,13,10,3,-,1,313,2020
Minnesota Vikings,6.69,20,31,9,9,3,2,1,314,2020
Chicago Bears,6.44,19,32,13,6,2,-,-,310,2020
Miami Dolphins,6.00,18,31,9,7,1,1,2,345,2020
Houston Texans,5.94,17,43,7,9,1,2,-,265,2020
Las Vegas Raiders,5.88,16,26,10,14,3,-,-,411,2020
Carolina Panthers,5.75,15,32,13,4,-,-,1,285,2020
Los Angeles Chargers,5.69,14,30,8,5,2,1,1,324,2020
Arizona Cardinals,5.50,13,27,13,7,3,2,-,349,2020
Cleveland Browns,4.75,12,20,5,8,-,1,1,299,2020
Seattle Seahawks,4.63,11,35,9,3,1,-,-,396,2020
Atlanta Falcons,4.56,10,25,8,6,-,-,-,291,2020
Indianapolis Colts,4.06,8,18,8,3,1,-,1,348,2020
Baltimore Ravens,4.06,8,28,9,7,2,-,-,385,2020
Tampa Bay Buccaneers,3.69,7,22,11,5,1,-,1,414,2020
Pittsburgh Steelers,3.25,6,12,8,7,1,-,-,337,2020
Buffalo Bills,3.19,5,24,10,10,-,-,-,418,2020
Kansas City Chiefs,3.13,4,22,7,7,-,2,1,413,2020
New Orleans Saints,2.88,3,21,6,7,-,-,-,358,2020
Tennessee Titans,2.13,2,23,6,4,1,1,-,443,2020
Green Bay Packers,2.00,1,13,2,3,-,-,2,355,2020
Jacksonville Jaguars,9.71,32,32,17,12,3,-,3,253,2021
Atlanta Falcons,9.59,30,36,11,11,3,-,1,299,2021
New York Giants,9.59,30,36,20,10,3,1,-,227,2021
Carolina Panthers,9.47,29,52,21,8,3,1,-,302,2021
Chicago Bears,9.12,28,54,19,9,2,-,-,283,2021
Baltimore Ravens,8.35,27,48,17,7,2,-,1,354,2021
New York Jets,8.24,26,53,20,7,-,-,-,304,2021
Houston Texans,7.65,25,44,15,7,-,-,-,272,2021
Washington Commanders,7.53,23,42,14,9,3,-,-,306,2021
Denver Broncos,7.53,23,39,9,8,2,-,2,316,2021
Miami Dolphins,7.41,22,35,13,11,1,1,-,274,2021
Las Vegas Raiders,6.94,21,38,13,9,3,-,1,358,2021
Detroit Lions,6.65,20,33,13,8,2,-,-,296,2021
Cleveland Browns,6.53,19,48,14,8,1,-,-,295,2021
New Orleans Saints,6.47,18,37,13,5,3,-,-,352,2021
Tennessee Titans,6.41,17,47,14,11,-,-,-,401,2021
Cincinnati Bengals,6.24,16,55,14,7,3,-,-,448,2021
Pittsburgh Steelers,6.06,15,37,11,9,2,-,-,323,2021
Los Angeles Rams,5.71,13,27,17,5,5,-,-,404,2021
New England Patriots,5.71,13,24,12,9,5,-,-,357,2021
Seattle Seahawks,5.47,12,41,7,5,1,-,-,371,2021
San Francisco 49ers,5.18,11,32,14,10,-,1,1,390,2021
Los Angeles Chargers,5.00,10,29,15,6,3,-,-,421,2021
Arizona Cardinals,4.65,9,32,10,4,2,1,-,342,2021
Kansas City Chiefs,4.59,8,24,12,10,1,-,-,453,2021
Philadelphia Eagles,4.24,6,28,10,5,1,1,-,380,2021
Indianapolis Colts,4.24,6,32,8,11,1,-,-,443,2021
Minnesota Vikings,4.18,5,30,7,6,1,-,1,413,2021
Buffalo Bills,4.12,4,22,11,4,1,1,-,456,2021
Dallas Cowboys,3.82,3,27,8,8,1,-,-,457,2021
Green Bay Packers,3.53,2,33,7,6,-,-,1,438,2021
Tampa Bay Buccaneers,3.41,1,23,12,7,2,-,-,499,2021
Indianapolis Colts,11.76,32,53,18,12,4,-,-,245,2022
Houston Texans,10.35,31,32,15,8,5,-,1,228,2022
Chicago Bears,9.35,30,50,13,10,3,-,-,269,2022
Denver Broncos,9.18,29,51,12,9,2,-,-,223,2022
Los Angeles Rams,9.06,28,51,15,7,3,1,-,264,2022
New York Jets,8.24,26,28,12,7,-,1,1,214,2022
Tennessee Titans,8.24,26,40,9,8,3,-,-,224,2022
Washington Commanders,8.12,25,39,14,5,1,1,-,215,2022
