Team,Avg,Rank,PAT_Made,FG_0_19,FG_20_29,FG_30_39,FG_40_49,FG_50plus,Year
Tennessee Titans,10.18,32,27,-,21,10,5,6,2023
Washington Commanders,9.71,30,47,-,7,9,6,7,2023
Indianapolis Colts,9.71,30,38,-,8,7,10,8,2023
Atlanta Falcons,9.47,29,34,1,10,11,8,4,2023
New York Jets,8.88,28,31,-,7,15,4,6,2023
Minnesota Vikings,8.59,27,32,-,7,13,3,9,2023
Seattle Seahawks,8.00,25,43,-,7,12,7,3,2023
New England Patriots,8.00,25,31,-,8,12,3,8,2023
Chicago Bears,7.82,22,38,-,4,9,5,6,2023
Denver Broncos,7.82,22,40,-,9,9,4,4,2023
Houston Texans,7.82,22,25,-,2,11,7,6,2023
Carolina Panthers,7.65,21,33,-,6,12,2,5,2023
Los Angeles Rams,7.53,18,25,-,6,5,5,8,2023
Pittsburgh Steelers,7.53,18,19,-,5,12,8,4,2023
Baltimore Ravens,7.53,18,17,-,8,9,4,7,2023
Cincinnati Bengals,7.41,16,34,-,6,10,12,4,2023
Arizona Cardinals,7.41,16,49,-,7,6,9,-,2023
Green Bay Packers,7.29,14,27,-,9,13,4,5,2023
San Francisco 49ers,7.29,14,21,-,8,5,9,7,2023
New Orleans Saints,7.12,13,26,-,10,8,5,5,2023
New York Giants,7.00,11,42,-,7,9,8,1,2023
Las Vegas Raiders,7.00,11,34,-,3,9,8,5,2023
Los Angeles Chargers,6.82,9,41,-,7,6,10,-,2023
Tampa Bay Buccaneers,6.82,9,26,-,8,13,4,3,2023
Detroit Lions,6.76,8,37,-,6,9,6,3,2023
Buffalo Bills,6.53,7,25,-,7,4,11,4,2023
Jacksonville Jaguars,6.47,5,42,-,7,7,3,4,2023
Philadelphia Eagles,6.47,5,41,-,5,4,6,6,2023
Dallas Cowboys,6.24,4,31,-,4,6,7,5,2023
Miami Dolphins,6.18,3,44,-,5,6,4,3,2023
Cleveland Browns,5.65,1,41,-,5,3,7,2,2023
Kansas City Chiefs,5.65,1,28,-,7,7,7,1,2023
