Team,Avg,Rank,Comp,Att,Yds,Int,TD,Rush_Att,Rush_Yds,Rush_TD,RZ_Touch,RZ_G2G,Year
Dallas Cowboys,20.89,32,349,511,4045,13,28,93,553,10,5,2,2024
Carolina Panthers,20.46,31,358,527,4012,9,35,83,394,5,6,2,2024
Jacksonville Jaguars,20.07,30,388,579,4581,6,29,88,419,2,8,3,2024
Atlanta Falcons,19.96,29,401,574,3947,12,34,100,495,3,10,3,2024
Tampa Bay Buccaneers,19.84,28,417,628,4447,7,27,81,354,6,3,-,2024
Cincinnati Bengals,18.90,27,372,572,4016,15,30,108,526,4,9,6,2024
Baltimore Ravens,17.90,26,395,624,4466,12,26,62,233,3,3,2,2024
Las Vegas Raiders,17.76,25,370,561,3989,10,29,65,283,3,11,3,2024
Cleveland Browns,17.54,24,315,508,3860,3,26,97,437,1,6,1,2024
Los Angeles Rams,17.53,23,354,542,4101,13,29,73,359,3,10,3,2024
Detroit Lions,17.50,22,373,609,4404,16,18,73,454,6,7,2,2024
Indianapolis Colts,17.24,21,377,544,4120,16,27,76,322,4,6,2,2024
New York Giants,17.12,20,349,503,3869,5,23,76,403,4,2,1,2024
Kansas City Chiefs,16.95,19,375,569,3970,13,24,88,434,4,1,-,2024
Houston Texans,16.91,18,325,552,3749,19,31,60,400,3,5,1,2024
Tennessee Titans,16.71,17,313,472,3213,11,26,84,435,6,7,2,2024
Arizona Cardinals,16.44,16,370,539,3930,9,20,69,303,6,5,1,2024
New England Patriots,16.30,15,346,533,3749,7,27,67,231,1,5,2,2024
New York Jets,16.24,14,327,520,3588,7,18,78,325,8,3,2,2024
Seattle Seahawks,16.22,13,370,568,3923,13,25,62,251,2,8,4,2024
San Francisco 49ers,16.08,12,338,515,3476,11,25,55,276,4,2,-,2024
New Orleans Saints,15.95,11,366,591,4295,14,19,80,434,1,-,-,2024
Los Angeles Chargers,15.86,10,366,564,3759,15,24,72,392,3,6,3,2024
Denver Broncos,15.74,9,392,604,4078,15,22,67,295,3,3,1,2024
Buffalo Bills,15.66,8,396,578,4100,16,28,53,263,2,4,4,2024
Washington Commanders,15.46,7,306,494,3471,7,24,81,340,2,7,2,2024
Pittsburgh Steelers,14.76,6,382,582,4151,17,23,57,229,2,10,8,2024
Philadelphia Eagles,14.47,5,337,542,3266,13,22,74,353,3,3,1,2024
Minnesota Vikings,14.46,4,414,635,4446,24,24,50,160,1,2,1,2024
Green Bay Packers,14.07,3,381,564,3959,16,23,76,268,1,1,-,2024
Miami Dolphins,13.81,2,365,570,3829,10,22,53,176,-,1,-,2024
Chicago Bears,13.19,1,325,503,3959,11,17,51,218,1,4,2,2024
