Team,Avg,Rank,Rec,Target,Yds,TD,RZ_Touch,RZ_Target,RZ_G2G,Year
Cincinnati Bengals,12.32,32,96,133,1083,8,15,21,8,2021
Los Angeles Chargers,11.21,31,85,129,1021,12,16,26,15,2021
Cleveland Browns,10.36,30,81,115,701,7,11,20,9,2021
Indianapolis Colts,9.96,29,103,143,1034,8,20,25,10,2021
Green Bay Packers,9.86,28,88,120,871,8,17,18,8,2021
Houston Texans,9.75,27,81,110,954,8,15,17,12,2021
New York Jets,9.64,26,92,126,1113,8,11,20,9,2021
Seattle Seahawks,9.62,25,82,113,896,9,12,18,7,2021
Baltimore Ravens,9.44,24,98,141,976,6,13,19,9,2021
Philadelphia Eagles,9.24,23,101,129,957,13,21,27,11,2021
Jacksonville Jaguars,8.67,22,81,115,894,5,7,16,8,2021
Tampa Bay Buccaneers,8.61,21,92,128,862,6,12,20,11,2021
Las Vegas Raiders,8.51,20,82,122,898,9,8,13,5,2021
Detroit Lions,8.40,19,86,123,1071,6,11,20,6,2021
Kansas City Chiefs,8.38,18,80,110,853,5,8,17,7,2021
Minnesota Vikings,8.31,17,68,106,811,5,9,15,6,2021
Tennessee Titans,8.11,16,67,110,612,3,4,14,10,2021
New York Giants,7.85,15,86,127,792,6,18,34,8,2021
Washington Commanders,7.69,14,86,123,965,5,9,18,4,2021
Miami Dolphins,7.56,13,73,100,880,6,12,13,7,2021
Denver Broncos,7.55,12,62,94,613,2,6,14,3,2021
Dallas Cowboys,7.18,11,76,108,862,6,11,14,5,2021
Los Angeles Rams,6.89,10,82,113,806,4,11,17,7,2021
Atlanta Falcons,6.88,9,67,97,709,9,13,19,7,2021
Pittsburgh Steelers,6.68,8,76,109,759,4,10,18,9,2021
San Francisco 49ers,6.49,7,61,85,560,5,14,22,9,2021
New Orleans Saints,6.22,6,74,122,714,3,13,20,8,2021
Carolina Panthers,6.19,5,79,121,798,6,12,19,10,2021
Buffalo Bills,5.48,4,42,75,491,3,6,8,4,2021
Chicago Bears,5.46,3,55,87,551,5,7,17,7,2021
New England Patriots,5.37,2,40,72,385,4,7,16,7,2021
Arizona Cardinals,4.35,1,43,72,428,-,4,13,4,2021
