Team,Avg,Rank,Rush_Att,Rush_Yds,Rush_TD,Rec,Target,Rec_Yds,Rec_TD,RZ_Touch,RZ_Target,RZ_G2G,Year
New York Jets,31.06,32,9,84,-,199,271,2345,12,18,20,7,2020
Atlanta Falcons,26.81,31,19,134,1,191,273,2621,15,21,27,14,2020
Miami Dolphins,26.36,30,10,75,2,180,288,2615,14,19,29,8,2020
Arizona Cardinals,24.97,29,7,24,-,188,277,2124,15,18,29,9,2020
Dallas Cowboys,24.71,28,8,54,1,179,264,2418,21,26,35,13,2020
New York Giants,24.09,27,17,87,1,158,230,1939,11,22,37,13,2020
San Francisco 49ers,23.99,26,10,44,-,166,248,1864,12,22,31,14,2020
Tennessee Titans,23.08,25,17,101,-,250,373,2928,19,38,62,17,2020
Carolina Panthers,22.48,24,6,15,-,187,280,2316,16,21,36,18,2020
Los Angeles Rams,22.40,23,7,3,-,175,265,1853,5,14,21,10,2020
Seattle Seahawks,22.14,22,7,10,-,239,345,2830,13,29,34,16,2020
Baltimore Ravens,21.86,21,12,82,-,186,298,2033,10,22,35,15,2020
Philadelphia Eagles,21.65,20,20,152,3,197,276,2545,17,25,35,27,2020
Jacksonville Jaguars,20.99,19,10,80,1,167,245,2200,16,14,18,8,2020
Denver Broncos,20.96,18,11,87,-,191,287,2360,14,24,46,20,2020
New England Patriots,20.79,17,10,31,-,169,251,2115,16,28,37,13,2020
Buffalo Bills,20.56,16,5,39,-,159,265,1944,13,19,31,15,2020
Detroit Lions,20.29,15,10,64,-,194,267,2733,17,20,31,14,2020
Cincinnati Bengals,20.11,14,12,72,-,164,265,2010,17,23,36,21,2020
Las Vegas Raiders,19.56,13,16,57,1,188,295,2560,16,27,51,20,2020
Kansas City Chiefs,19.32,12,9,49,-,148,243,1919,12,23,30,15,2020
Los Angeles Chargers,18.69,11,12,44,-,154,256,2039,12,19,23,8,2020
Washington Commanders,18.13,10,16,94,-,180,282,2062,9,17,24,8,2020
Pittsburgh Steelers,17.36,9,5,29,1,164,289,2229,14,18,29,13,2020
Houston Texans,17.28,8,13,53,-,162,235,1954,16,27,32,16,2020
New Orleans Saints,16.79,7,14,17,-,144,237,1922,11,15,23,10,2020
Cleveland Browns,15.73,6,10,58,-,153,258,2030,14,21,40,14,2020
Tampa Bay Buccaneers,15.41,5,17,55,-,217,314,2477,15,28,36,11,2020
Indianapolis Colts,15.17,4,8,28,-,158,239,2169,15,12,24,14,2020
Green Bay Packers,14.93,3,13,55,-,120,199,1457,9,18,23,13,2020
Chicago Bears,12.04,2,11,61,-,164,252,2062,14,20,31,9,2020
Minnesota Vikings,11.97,1,25,138,-,149,222,2095,16,17,26,13,2020
