Favorability_Rank,Team_Abbr,YDS/G,PTS/G,Total_Offense_Rank,Scoring_Rank,Position_Favorability
1,BAL,156.5,28.4,1.0,4.0,21.2
2,CHI,141.1,21.2,2.0,18.0,20.599999999999998
3,SF,140.5,28.9,3.0,3.0,20.0
4,ARI,139.1,19.4,4.0,24.5,19.4
5,DET,135.9,27.1,5.0,5.0,18.8
6,MIA,135.8,29.2,6.0,2.0,18.2
7,BUF,130.1,26.5,7.0,6.0,17.6
8,PHI,128.8,25.5,8.0,7.0,17.0
9,ATL,127.0,18.9,9.0,26.0,16.4
10,IND,121.1,23.3,10.0,10.5,15.799999999999999
11,LAR,120.3,23.8,11.0,8.0,15.2
12,CLE,118.6,23.3,12.0,10.5,14.6
13,PIT,118.2,17.9,13.0,27.5,14.0
14,DAL,112.9,29.9,14.0,1.0,13.4
15,GB,112.1,22.5,15.0,12.0,12.799999999999999
16,NYG,110.2,15.6,16.0,30.0,12.2
17,TEN,108.6,17.9,17.0,27.5,11.6
18,DEN,106.5,21.0,18.0,19.0,11.0
19,KC,104.9,21.8,19.0,15.0,10.4
20,CAR,104.1,13.9,20.0,31.5,9.8
21,NO,102.5,23.6,21.0,9.0,9.2
22,NYJ,96.9,15.8,22.5,29.0,8.3
23,HOU,96.9,22.2,22.5,13.5,8.3
24,JAX,96.8,22.2,24.0,13.5,7.3999999999999995
25,LAC,96.6,20.4,25.0,21.0,6.8
26,NE,95.7,13.9,26.0,31.5,6.2
27,WAS,93.6,19.4,27.0,24.5,5.6
28,SEA,92.9,21.4,28.0,17.0,5.0
29,MIN,91.4,20.2,29.0,22.0,4.4
30,LV,90.7,19.5,30.0,23.0,3.8
31,CIN,89.8,21.5,31.0,16.0,3.2
32,TB,88.8,20.5,32.0,20.0,2.6
