Team,Avg,Rank,Sack,Int,Fum_Rec,TD,Saf,Ret_TD,Pts_Allow,Year
Jacksonville Jaguars,9.71,32,32,17,12,3,-,3,253,2021
Atlanta Falcons,9.59,30,36,11,11,3,-,1,299,2021
New York Giants,9.59,30,36,20,10,3,1,-,227,2021
Carolina Panthers,9.47,29,52,21,8,3,1,-,302,2021
Chicago Bears,9.12,28,54,19,9,2,-,-,283,2021
Baltimore Ravens,8.35,27,48,17,7,2,-,1,354,2021
New York Jets,8.24,26,53,20,7,-,-,-,304,2021
Houston Texans,7.65,25,44,15,7,-,-,-,272,2021
Washington Commanders,7.53,23,42,14,9,3,-,-,306,2021
Denver Broncos,7.53,23,39,9,8,2,-,2,316,2021
Miami Dolphins,7.41,22,35,13,11,1,1,-,274,2021
Las Vegas Raiders,6.94,21,38,13,9,3,-,1,358,2021
Detroit Lions,6.65,20,33,13,8,2,-,-,296,2021
Cleveland Browns,6.53,19,48,14,8,1,-,-,295,2021
New Orleans Saints,6.47,18,37,13,5,3,-,-,352,2021
Tennessee Titans,6.41,17,47,14,11,-,-,-,401,2021
Cincinnati Bengals,6.24,16,55,14,7,3,-,-,448,2021
Pittsburgh Steelers,6.06,15,37,11,9,2,-,-,323,2021
Los Angeles Rams,5.71,13,27,17,5,5,-,-,404,2021
New England Patriots,5.71,13,24,12,9,5,-,-,357,2021
Seattle Seahawks,5.47,12,41,7,5,1,-,-,371,2021
San Francisco 49ers,5.18,11,32,14,10,-,1,1,390,2021
Los Angeles Chargers,5.00,10,29,15,6,3,-,-,421,2021
Arizona Cardinals,4.65,9,32,10,4,2,1,-,342,2021
Kansas City Chiefs,4.59,8,24,12,10,1,-,-,453,2021
Philadelphia Eagles,4.24,6,28,10,5,1,1,-,380,2021
Indianapolis Colts,4.24,6,32,8,11,1,-,-,443,2021
Minnesota Vikings,4.18,5,30,7,6,1,-,1,413,2021
Buffalo Bills,4.12,4,22,11,4,1,1,-,456,2021
Dallas Cowboys,3.82,3,27,8,8,1,-,-,457,2021
Green Bay Packers,3.53,2,33,7,6,-,-,1,438,2021
Tampa Bay Buccaneers,3.41,1,23,12,7,2,-,-,499,2021
