Team,Avg,Rank,Comp,Att,Yds,Int,TD,Rush_Att,Rush_Yds,Rush_TD,RZ_Touch,RZ_G2G,Year
Detroit Lions,20.24,32,276,450,3473,10,22,90,650,6,18,9,2022
Miami Dolphins,19.32,31,344,528,3635,5,25,81,497,3,12,6,2022
Chicago Bears,17.91,30,292,431,3488,11,20,84,331,8,16,5,2022
Minnesota Vikings,16.89,29,355,547,4119,15,18,58,341,4,11,5,2022
Arizona Cardinals,16.83,28,313,443,3100,6,20,56,238,3,17,5,2022
Indianapolis Colts,16.74,27,334,490,3514,10,24,60,259,5,14,5,2022
Tampa Bay Buccaneers,16.61,26,309,493,3184,10,23,50,250,-,6,1,2022
Las Vegas Raiders,16.58,25,299,451,3305,5,21,49,198,4,11,7,2022
Kansas City Chiefs,16.47,24,328,497,3226,6,25,81,367,4,12,3,2022
Seattle Seahawks,16.04,23,294,469,3450,12,19,72,272,3,17,9,2022
Tennessee Titans,15.97,22,351,544,4093,12,23,63,208,2,16,6,2022
Atlanta Falcons,15.66,21,287,444,3025,9,20,40,119,1,7,5,2022
Washington Commanders,15.40,20,224,389,2793,6,21,70,272,-,14,9,2022
New England Patriots,15.19,19,291,478,3284,17,25,41,193,1,5,-,2022
Carolina Panthers,14.67,18,306,462,3335,7,22,63,189,4,13,9,2022
Pittsburgh Steelers,14.45,17,275,449,3344,18,23,57,252,-,11,3,2022
Los Angeles Chargers,14.41,16,223,352,2529,11,15,43,146,3,9,3,2022
New York Giants,14.36,15,289,467,3217,6,19,48,273,-,7,1,2022
New York Jets,13.51,14,235,376,2481,11,12,62,258,5,8,5,2022
Baltimore Ravens,13.32,13,328,501,3509,9,19,53,187,3,21,8,2022
New Orleans Saints,12.94,12,269,453,2705,7,11,62,323,4,11,3,2022
Los Angeles Rams,12.91,11,341,507,3647,14,19,45,194,1,13,5,2022
Buffalo Bills,12.64,10,306,482,3128,17,18,50,201,-,14,7,2022
Jacksonville Jaguars,12.60,9,315,498,3471,12,18,72,307,1,15,3,2022
Dallas Cowboys,12.16,8,286,465,3155,13,22,57,287,3,9,5,2022
Houston Texans,11.96,7,276,429,3059,14,13,73,272,2,13,4,2022
Green Bay Packers,11.94,6,236,365,2624,12,15,58,312,1,9,6,2022
San Francisco 49ers,11.86,5,300,456,3143,14,16,53,204,2,7,2,2022
Denver Broncos,11.76,4,295,463,2841,10,15,42,122,1,3,1,2022
Philadelphia Eagles,11.53,3,300,488,3090,17,19,62,381,1,9,2,2022
Cleveland Browns,10.90,2,221,375,2444,10,13,34,45,3,9,5,2022
Cincinnati Bengals,10.10,1,249,412,2861,9,14,31,116,2,7,4,2022
