Team,Avg,Rank,Att,Yds,TD,Rec,Rec_Yds,Rec_TD,RZ_Touch,RZ_G2G,Year
Arizona Cardinals,27.47,32,411,1850,13,79,91,552,8,103,2023
Indianapolis Colts,26.15,31,405,1736,15,78,102,664,3,74,2023
Seattle Seahawks,25.77,30,408,1815,19,81,106,615,2,85,2023
Washington Commanders,25.74,29,351,1531,13,89,116,602,2,70,2023
Denver Broncos,25.70,28,374,1968,12,80,100,529,6,72,2023
Carolina Panthers,25.44,27,367,1525,15,58,79,267,3,74,2023
New York Jets,23.78,26,368,1451,11,75,105,604,6,65,2023
New York Giants,23.70,25,422,1897,18,60,75,498,1,71,2023
Los Angeles Chargers,22.80,24,357,1431,9,92,119,703,1,54,2023
Las Vegas Raiders,22.24,23,398,1667,13,89,114,593,2,69,2023
Jacksonville Jaguars,22.01,22,326,1226,9,110,132,786,2,72,2023
Pittsburgh Steelers,21.74,21,343,1554,10,54,84,378,3,52,2023
Chicago Bears,21.68,20,276,1018,7,97,116,938,7,45,2023
Green Bay Packers,21.42,19,390,1626,13,73,96,480,1,68,2023
Cincinnati Bengals,21.07,18,334,1562,12,64,80,442,2,57,2023
Houston Texans,20.28,17,341,1123,11,74,92,505,2,51,2023
Buffalo Bills,20.26,16,314,1393,9,85,112,709,2,53,2023
Baltimore Ravens,19.86,15,323,1423,4,85,105,532,3,50,2023
New England Patriots,19.72,14,380,1294,10,86,104,586,3,72,2023
Minnesota Vikings,19.15,13,354,1339,10,83,92,492,1,68,2023
Cleveland Browns,19.05,12,314,1334,8,73,103,502,2,41,2023
New Orleans Saints,18.95,11,335,1341,6,65,89,466,1,60,2023
Tennessee Titans,18.80,10,369,1371,7,56,77,421,2,67,2023
Kansas City Chiefs,18.65,9,323,1515,6,68,82,436,4,52,2023
Atlanta Falcons,18.42,8,373,1412,5,58,77,451,4,52,2023
San Francisco 49ers,18.25,7,251,1062,7,82,109,573,1,35,2023
Dallas Cowboys,18.14,6,350,1357,9,62,87,445,4,67,2023
Philadelphia Eagles,18.12,5,310,1272,8,72,94,431,2,54,2023
Tampa Bay Buccaneers,17.45,4,348,1377,5,73,86,435,2,68,2023
Miami Dolphins,17.44,3,324,1256,10,54,71,511,3,62,2023
Detroit Lions,16.45,2,311,1115,9,63,88,551,-,55,2023
Los Angeles Rams,16.31,1,283,1161,6,64,78,292,1,48,2023
