,Name,Team,BYE,Pos,ADP,FantasyPros,SleeperRank,SleepvADP,SleepvFP,Round,Pick
,Christian McCaffrey,SF,9,RB,1,1,1,0.00,0.00,1,1
,Tyreek Hill,MIA,6,WR,2,3,2,0.00,-0.33,,2
,CeeDee Lamb,DAL,7,WR,2,2,3,0.50,0.50,,3
,Justin Jefferson,MIN,6,WR,4,5,4,0.00,-0.20,,4
,Ja'Marr Chase,CIN,12,WR,7,4,5,-0.29,0.25,,5
,Bijan Robinson,ATL,12,RB,4,7,6,0.50,-0.14,,6
,Amon-Ra St. Brown,DET,5,WR,7,8,7,0.00,-0.13,,7
,Breece Hall,NYJ,12,RB,6,6,8,0.33,0.33,,8
,A.J. Brown,PHI,5,WR,9,9,9,0.00,0.00,,9
,Jahmyr Gibbs,DET,5,RB,12,15,10,-0.17,-0.33,,10
,Jonathan Taylor,IND,14,RB,10,11,11,0.10,0.00,,11
,Saquon Barkley,PHI,5,RB,10,12,12,0.20,0.00,,12
,Garrett Wilson,NYJ,12,WR,13,10,13,0.00,0.30,2,13
,Marvin Harrison,ARI,11,WR,15,17,14,-0.07,-0.18,,14
,Puka Nacua,LAR,6,WR,14,13,15,0.07,0.15,,15
,Travis Etienne,JAC,12,RB,16,26,16,0.00,-0.38,,16
,Kyren Williams,LAR,6,RB,17,20,17,0.00,-0.15,,17
,Derrick Henry,BAL,14,RB,18,14,18,0.00,0.29,,18
,Drake London,ATL,12,WR,21,22,19,-0.10,-0.14,,19
,Josh Allen,BUF,12,QB,23,19,20,-0.13,0.05,,20
,Davante Adams,LV,10,WR,20,28,21,0.05,-0.25,,21
,Chris Olave,NO,12,WR,25,25,22,-0.12,-0.12,,22
,De'Von Achane,MIA,6,RB,18,37,23,0.28,-0.38,,23
,Josh Jacobs,GB,10,RB,22,38,24,0.09,-0.37,,24
,Travis Kelce,KC,6,TE,28,34,25,-0.11,-0.26,3,25
,Brandon Aiyuk,SF,9,WR,35,24,26,-0.26,0.08,,26
,Deebo Samuel,SF,9,WR,26,16,27,0.04,0.69,,27
,Isiah Pacheco,KC,6,RB,24,27,28,0.17,0.04,,28
,Mike Evans,TB,11,WR,37,18,29,-0.22,0.61,,29
,Sam LaPorta,DET,5,TE,28,30,30,0.07,0.00,,30
,Jalen Hurts,PHI,5,QB,30,23,31,0.03,0.35,,31
,Patrick Mahomes,KC,6,QB,31,31,32,0.03,0.03,,32
,Nico Collins,HOU,14,WR,27,21,33,0.22,0.57,,33
,Stefon Diggs,HOU,14,WR,39,55,34,-0.13,-0.38,,34
,Jaylen Waddle,MIA,6,WR,37,32,35,-0.05,0.09,,35
,Lamar Jackson,BAL,14,QB,41,33,36,-0.12,0.09,,36
,Rachaad White,TB,11,RB,32,49,37,0.16,-0.24,4,37
,DJ Moore,CHI,7,WR,39,36,38,-0.03,0.06,,38
,Cooper Kupp,LAR,6,WR,32,35,39,0.22,0.11,,39
,James Cook,BUF,12,RB,32,45,40,0.25,-0.11,,40
,DK Metcalf,SEA,10,WR,42,29,41,-0.02,0.41,,41
,Malik Nabers,NYG,11,WR,45,42,42,-0.07,0.00,,42
,Joe Mixon,HOU,14,RB,44,43,43,-0.02,0.00,,43
,Michael Pittman,IND,14,WR,35,52,44,0.26,-0.15,,44
,Kenneth Walker,SEA,10,RB,43,39,45,0.05,0.15,,45
,C.J. Stroud,HOU,14,QB,51,51,46,-0.10,-0.10,,46
,DeVonta Smith,PHI,5,WR,47,41,47,0.00,0.15,,47
,Trey McBride,ARI,11,TE,48,62,48,0.00,-0.23,,48
,Mark Andrews,BAL,14,TE,49,47,49,0.00,0.04,5,49
,Alvin Kamara,NO,12,RB,46,61,50,0.09,-0.18,,50
,Dalton Kincaid,BUF,12,TE,50,78,51,0.02,-0.35,,51
