Favorability_Rank,Team_Abbr,Passing,Passing_Rank,YDS/G,PTS/G,Total_Offense_Rank,Scoring_Rank,Position_Favorability
1,MIA,6822,1.0,135.8,29.2,6.0,2.0,44.16
2,DET,6712,3.0,135.9,27.1,5.0,5.0,42.05785714285729
3,BAL,6296,6.0,156.5,28.4,1.0,4.0,40.15499999999989
4,SF,6773,2.0,140.5,28.9,3.0,3.0,39.587857142857146
5,BUF,6366,4.0,130.1,26.5,7.0,6.0,32.17857142857146
6,DAL,6317,5.0,112.9,29.9,14.0,1.0,31.91428571428564
7,JAX,5772,13.0,96.8,22.2,24.0,13.5,31.632857142857326
8,PHI,6024,8.0,128.8,25.5,8.0,7.0,31.579285714285795
9,HOU,5820,12.0,96.9,22.2,22.5,13.5,30.884285714285674
10,CLE,5710,16.0,118.6,23.3,12.0,10.5,30.255000000000003
11,CHI,5495,20.0,141.1,21.2,2.0,18.0,29.66428571428571
12,NO,5732,14.0,102.5,23.6,21.0,9.0,28.55928571428564
13,LAR,6108,7.0,120.3,23.8,11.0,8.0,28.52857142857122
14,IND,5725,15.0,121.1,23.3,10.0,10.5,25.69785714285692
15,ATL,5683,17.0,127.0,18.9,9.0,26.0,24.881428571428664
16,GB,5873,11.0,112.1,22.5,15.0,12.0,24.703571428571355
17,DEN,5072,26.0,106.5,21.0,18.0,19.0,22.235714285714202
18,KC,5972,9.0,104.9,21.8,19.0,15.0,21.520714285714398
19,SEA,5490,21.0,92.9,21.4,28.0,17.0,19.14785714285719
20,ARI,5509,19.0,139.1,19.4,4.0,24.5,19.10499999999991
21,MIN,5912,10.0,91.4,20.2,29.0,22.0,18.549285714285777
22,PIT,5173,25.0,118.2,17.9,13.0,27.5,18.501428571428548
23,NYG,4760,29.0,110.2,15.6,16.0,30.0,18.31214285714305
24,CIN,5422,22.0,89.8,21.5,31.0,16.0,14.955000000000044
25,LAC,5599,18.0,96.6,20.4,25.0,21.0,14.77857142857139
26,LV,4922,27.0,90.7,19.5,30.0,23.0,14.682857142857221
27,NYJ,4566,31.0,96.9,15.8,22.5,29.0,13.852142857142873
28,TEN,4913,28.0,108.6,17.9,17.0,27.5,12.652857142857021
29,CAR,4510,32.0,104.1,13.9,20.0,31.5,12.103571428571563
30,TB,5321,23.0,88.8,20.5,32.0,20.0,9.86357142857121
31,NE,4696,30.0,95.7,13.9,26.0,31.5,3.0
32,WAS,5317,24.0,93.6,19.4,27.0,24.5,
