Favorability_Rank,Team_Abbr,Passing,Passing_Rank,YDS/G,PTS/G,Total_Offense_Rank,Scoring_Rank,Position_Favorability
1,MIA,6822,1.0,135.8,29.2,6.0,2.0,30.699999999999996
2,SF,6773,2.0,140.5,28.9,3.0,3.0,30.5
3,DET,6712,3.0,135.9,27.1,5.0,5.0,29.0
4,BAL,6296,6.0,156.5,28.4,1.0,4.0,28.6
5,BUF,6366,4.0,130.1,26.5,7.0,6.0,27.8
6,DAL,6317,5.0,112.9,29.9,14.0,1.0,27.400000000000002
7,PHI,6024,8.0,128.8,25.5,8.0,7.0,25.3
8,LAR,6108,7.0,120.3,23.8,11.0,8.0,24.9
9,GB,5873,11.0,112.1,22.5,15.0,12.0,20.900000000000002
10,IND,5725,15.0,121.1,23.3,10.0,10.5,20.35
11,KC,5972,9.0,104.9,21.8,19.0,15.0,20.2
12,CLE,5710,16.0,118.6,23.3,12.0,10.5,19.45
13,NO,5732,14.0,102.5,23.6,21.0,9.0,19.1
14,HOU,5820,12.0,96.9,22.2,22.5,13.5,18.450000000000003
15,JAX,5772,13.0,96.8,22.2,24.0,13.5,17.65
16,CHI,5495,20.0,141.1,21.2,2.0,18.0,17.2
17,MIN,5912,10.0,91.4,20.2,29.0,22.0,15.600000000000001
18,ARI,5509,19.0,139.1,19.4,4.0,24.5,15.350000000000001
19,ATL,5683,17.0,127.0,18.9,9.0,26.0,14.9
20,LAC,5599,18.0,96.6,20.4,25.0,21.0,12.7
21,SEA,5490,21.0,92.9,21.4,28.0,17.0,11.8
22,CIN,5422,22.0,89.8,21.5,31.0,16.0,11.0
23,DEN,5072,26.0,106.5,21.0,18.0,19.0,10.7
24,PIT,5173,25.0,118.2,17.9,13.0,27.5,9.65
25,TB,5321,23.0,88.8,20.5,32.0,20.0,9.1
26,WAS,5317,24.0,93.6,19.4,27.0,24.5,8.25
27,TEN,4913,28.0,108.6,17.9,17.0,27.5,7.3500000000000005
28,LV,4922,27.0,90.7,19.5,30.0,23.0,6.6
29,NYG,4760,29.0,110.2,15.6,16.0,30.0,6.300000000000001
30,NYJ,4566,31.0,96.9,15.8,22.5,29.0,4.300000000000001
31,CAR,4510,32.0,104.1,13.9,20.0,31.5,3.55
32,NE,4696,30.0,95.7,13.9,26.0,31.5,3.35
