Favorability_Rank,Team_Abbr,Passing,Passing_Rank,YDS/G,PTS/G,Total_Offense_Rank,Scoring_Rank,Position_Favorability
1,BAL,6296,6.0,156.5,28.4,1.0,4.0,39.9075
2,PHI,6024,8.0,128.8,25.5,8.0,7.0,38.285
3,BUF,6366,4.0,130.1,26.5,7.0,6.0,36.150000000000006
4,HOU,5820,12.0,96.9,22.2,22.5,13.5,33.63
5,DAL,6317,5.0,112.9,29.9,14.0,1.0,32.85
6,MIA,6822,1.0,135.8,29.2,6.0,2.0,32.14
7,IND,5725,15.0,121.1,23.3,10.0,10.5,31.545
8,GB,5873,11.0,112.1,22.5,15.0,12.0,31.175
9,ARI,5509,19.0,139.1,19.4,4.0,24.5,29.907500000000002
10,LAC,5599,18.0,96.6,20.4,25.0,21.0,29.775
11,SF,6773,2.0,140.5,28.9,3.0,3.0,29.48
12,MIN,5912,10.0,91.4,20.2,29.0,22.0,28.44
13,LAR,6108,7.0,120.3,23.8,11.0,8.0,28.125
14,NO,5732,14.0,102.5,23.6,21.0,9.0,28.005000000000003
15,DEN,5072,26.0,106.5,21.0,18.0,19.0,28.0
16,DET,6712,3.0,135.9,27.1,5.0,5.0,27.735000000000003
17,CLE,5710,16.0,118.6,23.3,12.0,10.5,27.619999999999997
18,KC,5972,9.0,104.9,21.8,19.0,15.0,25.39
19,WAS,5317,24.0,93.6,19.4,27.0,24.5,22.89
20,ATL,5683,17.0,127.0,18.9,9.0,26.0,22.015
21,PIT,5173,25.0,118.2,17.9,13.0,27.5,17.92
22,JAX,5772,13.0,96.8,22.2,24.0,13.5,17.910000000000004
23,CHI,5495,20.0,141.1,21.2,2.0,18.0,16.1
24,NYJ,4566,31.0,96.9,15.8,22.5,29.0,15.155
25,CAR,4510,32.0,104.1,13.9,20.0,31.5,13.425
26,TB,5321,23.0,88.8,20.5,32.0,20.0,13.290000000000001
27,TEN,4913,28.0,108.6,17.9,17.0,27.5,12.09
28,NYG,4760,29.0,110.2,15.6,16.0,30.0,11.370000000000001
29,SEA,5490,21.0,92.9,21.4,28.0,17.0,10.995
30,CIN,5422,22.0,89.8,21.5,31.0,16.0,8.945
31,LV,4922,27.0,90.7,19.5,30.0,23.0,8.085
32,NE,4696,30.0,95.7,13.9,26.0,31.5,4.050000000000001
