Team_Abbr,YDS/G,PTS/G,Passing,Rushing,Passing_Rank,Rushing_Rank,Total_Offense_Rank,Scoring_Rank,Pass_Friendly_Score,Rush_Friendly_Score,Offensive_Efficiency_2018,Offensive_Efficiency_2019,Offensive_Efficiency_2020,Offensive_Efficiency_2021,Offensive_Efficiency_2022,Offensive_Efficiency_2023,PTS/G_2018,PTS/G_2019,PTS/G_2020,PTS/G_2021,PTS/G_2022,PTS/G_2023,Pass_Run_Ratio_2018,Pass_Run_Ratio_2019,Pass_Run_Ratio_2020,Pass_Run_Ratio_2021,Pass_Run_Ratio_2022,Pass_Run_Ratio_2023,Passing_2018,Passing_2019,Passing_2020,Passing_2021,Passing_2022,Passing_2023,Rushing_2018,Rushing_2019,Rushing_2020,Rushing_2021,Rushing_2022,Rushing_2023,YDS/G_2018,YDS/G_2019,YDS/G_2020,YDS/G_2021,YDS/G_2022,YDS/G_2023,YDS/G_Recent,YDS/G_3YR_Avg,YDS/G_YoY_Change,YDS/G_Trend,PTS/G_Recent,PTS/G_3YR_Avg,PTS/G_YoY_Change,PTS/G_Trend,Pass_Run_Ratio_Recent,Pass_Run_Ratio_3YR_Avg,Pass_Run_Ratio_YoY_Change,Pass_Run_Ratio_Trend,Offense_Quality_Score,Offense_Stability
MIA,135.8,29.2,6822,401.3,1.0,1.0,6.0,2.0,30.5,30.5,18.354430379746837,26.47058823529412,23.933649289099527,21.747448979591837,23.54685646500593,21.49046793760832,19.9,19.1,25.3,20.1,23.4,29.2,15.998620213866852,16.0,16.0,17.0,17.001371742112482,16.99975080986793,4638.0,4960.0,5424.0,5219.0,6197.0,6822.0,289.9,310.0,339.0,307.0,364.5,401.3,108.6,72.3,105.5,92.2,99.2,135.8,135.8,109.06666666666668,36.60000000000001,21.800000000002598,29.2,24.233333333333334,5.800000000000001,4.550000000000569,16.99975080986793,17.000374183993472,-0.0016209322445526197,-0.00012459506603413605,29.4,84.4779881053144
SF,140.5,28.9,6773,398.4,2.0,2.0,3.0,3.0,30.7,30.7,17.981072555205046,20.780911062906725,19.904711487559556,19.71375807940905,19.06779661016949,20.552532440351612,21.4,29.9,23.5,25.1,26.5,28.9,15.998336106489184,15.998425610076094,16.00108078897595,17.000266169816342,17.002188183807437,17.00050200803213,5769.0,6097.0,5922.0,6387.0,6216.0,6773.0,360.6,381.1,370.1,375.7,365.6,398.4,118.9,144.1,118.1,127.4,138.8,140.5,140.5,135.5666666666667,1.6999999999999886,6.550000000000935,28.9,26.833333333333332,2.3999999999999986,1.9000000000002364,17.00050200803213,17.000985453885303,-0.001686175775308385,0.00011791910789355067,30.0,94.15224730636531
DET,135.9,27.1,6712,394.8,3.0,3.0,5.0,5.0,29.4,29.4,19.518072289156628,20.679199514857487,25.15010006671114,17.2322375397667,20.789352914180817,19.948074426655126,20.3,21.3,23.6,19.1,26.6,27.1,15.997555759242285,16.00057670126874,15.999428897772702,16.999380037197767,17.0,17.001013171225935,5236.0,5549.0,5603.0,5484.0,6460.0,6712.0,327.3,346.8,350.2,322.6,380.0,394.8,103.8,103.1,93.7,110.9,128.2,135.9,135.9,125.0,7.700000000000017,12.50000000000171,27.1,24.26666666666667,0.5,4.000000000000578,17.001013171225935,17.000131069474566,0.0010131712259351389,0.0008165670140857932,28.0,84.92136098894221
BUF,130.1,26.5,6366,374.5,4.0,4.0,7.0,6.0,28.099999999999998,28.099999999999998,13.558467741935484,15.28724440116845,29.077190946024377,21.865097329108192,20.385304659498207,20.38878842676311,16.8,19.6,31.3,28.4,28.4,26.5,16.001339584728733,15.999394306480921,16.001513622603433,17.00183294056036,15.998490945674043,16.998664886515353,4778.0,5283.0,6343.0,6493.0,6361.0,6366.0,298.6,330.2,396.4,381.9,397.6,374.5,124.0,128.4,107.7,129.9,139.5,130.1,130.1,133.16666666666666,-9.400000000000006,0.10000000000017951,26.5,27.766666666666666,-1.8999999999999986,-0.9500000000001074,16.998664886515353,16.666329590916586,1.0001739408413108,-0.0015840270225190795,26.6,96.7743027989089
DAL,112.9,29.9,6317,371.6,5.0,5.0,14.0,1.0,25.299999999999997,25.299999999999997,17.26948548140601,20.157919182535995,22.091722595078302,25.011798017932986,20.322019147084422,26.510416666666664,21.2,27.1,24.7,31.2,27.5,29.9,16.000581733566026,16.0,16.000537923614846,17.0,17.001972386587774,16.9994617868676,5501.0,6904.0,5949.0,6919.0,6034.0,6317.0,343.8,431.5,371.8,407.0,354.9,371.6,122.7,134.6,111.8,124.6,135.2,112.9,112.9,124.2333333333333,-22.299999999999983,-5.850000000000475,29.9,29.53333333333333,2.3999999999999986,-0.6500000000001309,16.9994617868676,17.00047805781846,-0.0025105997201748664,-0.00026910656619908433,26.8,94.81058061734869
BAL,156.5,28.4,6296,370.4,6.0,6.0,1.0,4.0,28.5,28.5,15.936091765669808,16.110436893203882,15.239335721263433,15.611133521581284,12.867647058823529,18.1510710259301,24.3,33.2,29.3,22.8,20.6,28.4,16.001600426780477,15.998527968596662,16.001101624896723,17.00105596620908,17.001180637544273,16.997840172786177,5999.0,6521.0,5810.0,6440.0,5760.0,6296.0,374.9,407.6,363.1,378.8,338.8,370.4,152.6,206.0,191.9,145.8,160.0,156.5,156.5,154.1,-3.5,5.350000000000837,28.4,23.933333333333337,7.799999999999997,2.8000000000002827,16.997840172786177,17.000025592179842,-0.003340464758096573,-0.0016078967114510933,30.2,86.28009988186658
LAR,120.3,23.8,6108,359.3,7.0,7.0,11.0,8.0,24.799999999999997,24.799999999999997,23.621694307485434,26.284189459639762,18.434093161546087,27.332144979203804,18.48284166164961,19.755501222493887,32.9,24.6,23.3,27.1,18.1,23.8,16.000949893137022,15.998933048813019,16.0,16.998118785272776,17.001782531194294,16.999721681046477,6738.0,5998.0,6032.0,6325.0,4769.0,6108.0,421.1,374.9,377.0,372.1,280.5,359.3,139.4,93.7,126.1,99.0,97.7,120.3,120.3,105.66666666666667,22.599999999999994,10.65000000000119,23.8,23.0,5.699999999999999,-1.6500000000003325,16.999721681046477,16.99987433250452,-0.002060850147817206,0.000801447886850698,23.8,83.83684322135556
PHI,128.8,25.5,6024,354.4,8.0,8.0,8.0,7.0,25.0,25.0,23.37579617834395,19.855595667870034,16.477553034040454,16.353591160220997,19.011558389796733,19.771689497716896,22.9,24.1,20.9,26.1,28.1,25.5,16.000547495209418,15.997782705099779,16.0011954572624,17.00194498471798,16.998200976612694,16.997742663656886,5845.0,5772.0,5354.0,6119.0,6614.0,6024.0,365.3,360.8,334.6,359.9,389.1,354.4,98.1,121.2,126.7,159.7,147.6,128.8,128.8,145.36666666666665,-18.799999999999983,-15.450000000001921,25.5,26.566666666666666,-2.6000000000000014,-0.2999999999999989,16.997742663656886,16.999296208329188,-0.0004583129558071164,-0.002101160530546593,25.6,95.81597691329158
KC,104.9,21.8,5972,351.3,9.0,9.0,19.0,15.0,20.999999999999996,20.999999999999996,30.45822102425876,28.74442319949012,26.292384658143416,24.55242966751918,25.17766497461929,20.795964125560538,35.3,28.2,29.6,28.2,29.2,21.8,16.00093984962406,15.999472573839663,16.000481000481,17.001008064516128,17.001934235976787,16.99971534301167,6810.0,6067.0,6653.0,6746.0,7032.0,5972.0,425.6,379.2,415.8,396.8,413.6,351.3,115.9,98.1,112.4,115.0,115.9,104.9,104.9,111.93333333333334,-11.0,-5.0500000000005505,21.8,26.400000000000002,-7.399999999999999,-3.2000000000003443,16.99971534301167,17.000885881168198,-0.0022188929651179023,-0.0006463607522283548,16.4,87.58253449177349
MIN,91.4,20.2,5912,347.8,10.0,10.0,29.0,22.0,17.299999999999997,17.299999999999997,24.112525117213664,19.081106422878573,18.834866403854576,22.020725388601036,25.526791089704997,22.15067611075338,22.5,25.4,26.9,25.0,24.9,20.2,15.998263888888888,16.0,15.997965929316043,17.001102535832413,16.998616874135546,16.998274870615294,5529.0,5656.0,6292.0,6168.0,6145.0,5912.0,345.6,353.5,393.3,362.8,361.5,347.8,93.3,133.3,142.7,113.5,97.7,91.4,91.4,100.86666666666667,-6.299999999999997,-11.050000000001496,20.2,23.366666666666664,-4.699999999999999,-2.4000000000002735,16.998274870615294,16.999331426861087,-0.00034200352025237635,-0.001413832608558841,8.2,90.41564791312935
