Rank,Team,Sack,Int,Fum Rec,Saf,TD,Def Ret,TD Allow,Pts Allow,Fantasy_Points,GP,AVG,TGP,TAVG
1,Baltimore Ravens,60,18,13,1,1,-,1,268,174.00,17,10.24,17,10.24
2,Dallas Cowboys,46,17,9,1,7,-,-,309,172.00,17,10.12,17,10.12
3,Buffalo Bills,54,18,12,-,2,-,1,311,157.00,17,9.24,17,9.24
4,New York Jets,48,17,10,3,3,-,1,341,155.00,17,9.12,17,9.12
5,Miami Dolphins,56,15,12,-,4,-,-,367,152.00,17,8.94,17,8.94
6,Cleveland Browns,49,18,10,-,3,-,-,328,151.00,17,8.88,17,8.88
7,Las Vegas Raiders,46,13,9,1,5,-,-,325,144.00,17,8.47,17,8.47
8,New Orleans Saints,34,18,11,-,2,-,1,315,143.00,17,8.41,17,8.41
9,San Francisco 49ers,48,22,6,1,1,-,-,292,141.00,17,8.29,17,8.29
10,Indianapolis Colts,51,15,9,1,5,-,-,405,138.00,17,8.12,17,8.12
11,Pittsburgh Steelers,47,16,11,1,2,-,-,324,137.00,17,8.06,17,8.06
12,Tampa Bay Buccaneers,48,13,13,1,1,-,-,323,135.00,17,7.94,17,7.94
13,Kansas City Chiefs,57,8,9,-,2,-,-,274,132.00,17,7.76,17,7.76
14,New York Giants,34,18,13,-,3,-,1,395,129.00,17,7.59,17,7.59
15,Houston Texans,46,14,10,-,1,-,2,345,129.00,17,7.59,17,7.59
16,Minnesota Vikings,43,11,11,-,2,-,-,354,123.00,17,7.24,17,7.24
17,Jacksonville Jaguars,40,16,11,-,2,-,-,365,120.00,17,7.06,17,7.06
18,Cincinnati Bengals,44,17,9,-,1,-,1,378,118.00,17,6.94,17,6.94
19,Chicago Bears,30,22,6,-,2,-,-,353,116.00,17,6.82,17,6.82
20,Denver Broncos,42,11,15,1,1,-,1,399,116.00,17,6.82,17,6.82
21,Los Angeles Chargers,48,9,12,-,-,-,1,380,112.00,17,6.59,17,6.59
22,Green Bay Packers,45,7,11,-,2,-,-,350,111.00,17,6.53,17,6.53
23,New England Patriots,36,10,8,1,1,-,1,334,108.00,17,6.35,17,6.35
24,Detroit Lions,41,16,7,1,1,-,-,377,107.00,17,6.29,17,6.29
25,Seattle Seahawks,47,11,8,-,3,-,-,402,107.00,17,6.29,17,6.29
