Team,Defense_Rank,Defense_Score,Avg,Rush_Yds_Allowed,Rush_TD_Allowed,RB_Rec_Allowed,RB_Rec_Yds_Allowed,Rec_TD,Category
Kansas City Chiefs,1,32,16.24,1197,9,61,88,413,Shutdown
Philadelphia Eagles,2,31,16.35,1357,5,73,92,473,Shutdown
Houston Texans,3,30,18.72,1466,8,64,85,476,Shutdown
Detroit Lions,4,29,18.88,1167,12,61,71,592,Shutdown
Los Angeles Chargers,5,28,19.1,1576,4,85,120,481,Shutdown
Cleveland Browns,6,27,19.26,1492,15,54,68,422,Shutdown
Baltimore Ravens,7,26,19.29,1085,8,80,109,674,Shutdown
Tampa Bay Buccaneers,8,25,19.7,1238,7,85,104,661,Strong
Minnesota Vikings,9,24,19.71,1346,11,72,98,464,Strong
Pittsburgh Steelers,10,23,20.16,1420,12,73,90,557,Strong
New York Jets,11,22,20.41,1673,12,62,77,477,Strong
Denver Broncos,12,21,21.12,1329,7,84,100,641,Strong
Los Angeles Rams,13,20,21.22,1725,9,70,80,582,Strong
Atlanta Falcons,14,19,21.49,1447,6,96,112,586,Strong
Miami Dolphins,15,18,21.75,1467,12,70,98,570,Average
Las Vegas Raiders,16,17,21.88,1642,11,72,89,478,Average
Washington Commanders,17,16,22.01,1935,16,48,62,387,Average
Cincinnati Bengals,18,15,22.17,1529,16,75,86,530,Average
Seattle Seahawks,19,14,22.26,1721,9,78,99,624,Average
Green Bay Packers,20,13,22.56,1399,11,91,117,686,Average
Dallas Cowboys,21,12,23.23,1609,15,69,85,650,Weak
Indianapolis Colts,22,11,23.94,1821,14,80,102,588,Weak
Tennessee Titans,23,10,24.11,1756,15,56,69,401,Weak
New England Patriots,24,9,24.37,1972,15,55,72,401,Weak
Arizona Cardinals,25,8,24.42,1796,12,79,95,646,Weak
New Orleans Saints,26,7,24.46,1870,18,66,89,489,Weak
New York Giants,27,6,24.99,1891,14,81,100,647,Exploitable
Chicago Bears,28,5,25.2,2037,18,70,87,547,Exploitable
San Francisco 49ers,29,4,25.52,1744,18,81,92,624,Exploitable
Buffalo Bills,29,4,25.52,1629,10,92,118,750,Exploitable
Jacksonville Jaguars,31,2,26.7,1779,16,88,112,700,Exploitable
Carolina Panthers,32,1,30.27,2520,18,74,88,606,Exploitable
