Team,Avg,Rank,Sack,Int,Fum_Rec,TD,Saf,Ret_TD,Pts_Allow,Year
New York Jets,11.94,32,58,14,17,2,1,1,202,2023
New York Giants,11.41,31,85,12,7,3,-,-,248,2023
Carolina Panthers,11.35,29,60,8,9,5,-,-,185,2023
New England Patriots,11.35,29,48,21,8,5,1,-,228,2023
Washington Commanders,10.71,28,58,18,7,4,-,-,284,2023
Cleveland Browns,10.12,27,45,23,14,5,2,1,378,2023
Tennessee Titans,8.88,26,60,10,9,3,-,-,281,2023
Chicago Bears,8.82,25,45,13,9,3,1,1,335,2023
Minnesota Vikings,8.53,24,47,19,15,1,1,-,332,2023
Jacksonville Jaguars,7.59,22,41,14,16,1,-,1,365,2023
Atlanta Falcons,7.59,22,40,15,11,1,2,-,295,2023
Las Vegas Raiders,7.47,21,40,18,6,1,-,-,300,2023
Los Angeles Chargers,7.18,20,37,7,12,3,-,-,339,2023
Denver Broncos,7.06,19,48,7,12,2,1,-,341,2023
Arizona Cardinals,6.88,18,40,11,5,3,-,-,315,2023
Kansas City Chiefs,6.71,17,28,17,11,3,1,-,359,2023
Cincinnati Bengals,6.41,16,50,13,2,-,-,-,326,2023
Miami Dolphins,6.24,14,29,13,9,3,-,2,444,2023
Philadelphia Eagles,6.24,14,37,15,11,2,-,-,376,2023
Indianapolis Colts,6.18,13,40,10,12,1,1,-,341,2023
Tampa Bay Buccaneers,5.88,12,40,10,8,-,1,-,340,2023
Pittsburgh Steelers,5.82,11,31,8,6,-,-,-,233,2023
Houston Texans,5.47,10,39,5,6,1,1,-,329,2023
Los Angeles Rams,5.41,8,28,13,5,1,1,1,357,2023
Detroit Lions,5.41,8,31,12,11,3,-,-,453,2023
Seattle Seahawks,5.12,6,38,12,5,-,-,-,346,2023
Baltimore Ravens,5.12,6,38,5,12,-,3,1,450,2023
New Orleans Saints,5.06,5,34,10,6,1,-,-,375,2023
Buffalo Bills,5.00,4,24,18,10,-,-,2,439,2023
Green Bay Packers,4.94,3,30,11,7,-,-,1,371,2023
Dallas Cowboys,3.94,2,40,10,6,1,-,-,444,2023
San Francisco 49ers,3.47,1,30,12,6,1,-,-,456,2023
