Team,Avg,Rank,Comp,Att,Yds,Int,TD,Rush_Att,Rush_Yds,Rush_TD,RZ_Touch,RZ_G2G,Year
New York Jets,19.39,32,349,496,3740,4,25,72,275,4,21,14,2020
Atlanta Falcons,17.56,31,331,483,3702,7,25,46,244,3,12,5,2020
Arizona Cardinals,15.53,30,304,478,3395,8,22,70,417,2,11,5,2020
Philadelphia Eagles,14.86,29,315,457,3572,6,25,70,300,2,12,7,2020
Kansas City Chiefs,14.38,28,314,491,3628,12,26,53,226,7,17,13,2020
Jacksonville Jaguars,14.02,27,298,423,3494,9,29,67,273,5,9,4,2020
Tampa Bay Buccaneers,13.66,26,389,555,3843,12,26,44,234,2,10,6,2020
Washington Commanders,13.51,25,291,464,2944,12,18,48,227,5,9,4,2020
Carolina Panthers,13.22,24,339,496,3556,6,23,47,151,5,9,5,2020
San Francisco 49ers,13.10,23,256,398,2640,9,18,72,382,1,5,2,2020
Tennessee Titans,13.02,22,394,591,4252,15,32,55,200,3,9,4,2020
Pittsburgh Steelers,12.98,21,265,467,3109,16,19,63,340,1,13,5,2020
Denver Broncos,12.57,20,330,495,3648,8,21,53,218,6,13,6,2020
Cleveland Browns,12.43,19,278,454,3089,9,22,61,332,2,13,3,2020
Miami Dolphins,12.23,18,298,466,3827,16,19,64,312,5,12,5,2020
Buffalo Bills,12.20,17,303,479,3258,13,19,49,271,7,16,11,2020
New Orleans Saints,11.99,16,253,418,2790,13,19,43,203,1,5,3,2020
Baltimore Ravens,11.55,14,325,509,3245,10,19,40,150,3,5,4,2020
Las Vegas Raiders,11.55,14,345,545,4049,10,26,57,216,4,15,7,2020
Los Angeles Chargers,11.53,13,293,470,3118,11,20,71,346,8,21,10,2020
Chicago Bears,11.42,12,293,448,3280,8,26,42,164,-,5,1,2020
Indianapolis Colts,11.22,11,295,442,3271,11,21,53,203,4,12,3,2020
Cincinnati Bengals,11.13,10,283,455,3201,9,27,69,270,1,9,3,2020
New York Giants,10.91,9,286,427,3187,10,17,59,238,1,12,6,2020
Dallas Cowboys,10.74,8,286,439,3295,9,27,52,192,-,6,1,2020
New England Patriots,10.70,7,303,440,3284,16,20,60,271,5,10,6,2020
Seattle Seahawks,9.95,6,381,570,4089,11,22,68,280,4,15,10,2020
Los Angeles Rams,9.64,5,301,479,2943,13,14,47,189,4,16,10,2020
Detroit Lions,8.70,4,313,452,3997,5,34,48,137,5,12,9,2020
Houston Texans,7.90,3,279,398,3030,1,23,50,136,2,12,8,2020
Green Bay Packers,6.91,2,226,359,2454,9,15,30,210,2,6,2,2020
Minnesota Vikings,5.97,1,257,391,3074,11,19,43,105,1,9,2,2020
