Team,Avg,Rank,Att,Yds,TD,Rec,Rec_Yds,Rec_TD,RZ_Touch,RZ_G2G,Year
Carolina Panthers,30.27,32,486,2520,18,74,88,606,3,48,2024
Jacksonville Jaguars,26.70,31,407,1779,16,88,112,700,4,36,2024
Buffalo Bills,25.52,29,367,1629,10,92,118,750,6,23,2024
San Francisco 49ers,25.52,29,406,1744,18,81,92,624,2,42,2024
Chicago Bears,25.20,28,413,2037,18,70,87,547,-,38,2024
New York Giants,24.99,27,421,1891,14,81,100,647,2,36,2024
New Orleans Saints,24.46,26,386,1870,18,66,89,489,1,26,2024
Arizona Cardinals,24.42,25,383,1796,12,79,95,646,4,35,2024
New England Patriots,24.37,24,426,1972,15,55,72,401,6,58,2024
Tennessee Titans,24.11,23,403,1756,15,56,69,401,7,36,2024
Indianapolis Colts,23.94,22,437,1821,14,80,102,588,1,24,2024
Dallas Cowboys,23.23,21,366,1609,15,69,85,650,2,22,2024
Green Bay Packers,22.56,20,343,1399,11,91,117,686,4,34,2024
Seattle Seahawks,22.26,19,371,1721,9,78,99,624,2,34,2024
Cincinnati Bengals,22.17,18,359,1529,16,75,86,530,1,36,2024
Washington Commanders,22.01,17,395,1935,16,48,62,387,1,30,2024
Las Vegas Raiders,21.88,16,379,1642,11,72,89,478,4,40,2024
Miami Dolphins,21.75,15,335,1467,12,70,98,570,4,22,2024
Atlanta Falcons,21.49,14,330,1447,6,96,112,586,6,24,2024
Los Angeles Rams,21.22,13,382,1725,9,70,80,582,1,20,2024
Denver Broncos,21.12,12,344,1329,7,84,100,641,6,20,2024
New York Jets,20.41,11,412,1673,12,62,77,477,-,36,2024
Pittsburgh Steelers,20.16,10,346,1420,12,73,90,557,1,30,2024
Minnesota Vikings,19.71,9,325,1346,11,72,98,464,3,29,2024
Tampa Bay Buccaneers,19.70,8,293,1238,7,85,104,661,4,22,2024
Baltimore Ravens,19.29,7,314,1085,8,80,109,674,4,14,2024
Cleveland Browns,19.26,6,362,1492,15,54,68,422,-,23,2024
Los Angeles Chargers,19.10,5,342,1576,4,85,120,481,3,10,2024
Detroit Lions,18.88,4,279,1167,12,61,71,592,2,16,2024
Houston Texans,18.72,3,373,1466,8,64,85,476,2,21,2024
Philadelphia Eagles,16.35,2,333,1357,5,73,92,473,-,19,2024
Kansas City Chiefs,16.24,1,316,1197,9,61,88,413,-,24,2024
