Team,Avg,Rank,Rec,Target,Yds,TD,RZ_Touch,RZ_Target,RZ_G2G,Year
Denver Broncos,15.13,32,84,117,911,10,13,19,12,2023
Tampa Bay Buccaneers,14.59,31,103,154,1074,7,11,21,19,2023
Cincinnati Bengals,14.40,30,97,121,993,5,7,12,7,2023
Chicago Bears,13.68,29,92,126,742,7,17,16,15,2023
Atlanta Falcons,13.59,27,92,127,929,4,7,9,2,2023
Houston Texans,13.59,27,90,119,838,5,6,11,12,2023
Miami Dolphins,13.27,26,85,116,853,7,5,11,11,2023
Los Angeles Rams,13.20,25,65,96,732,6,6,11,9,2023
Philadelphia Eagles,12.55,24,83,111,832,6,7,10,12,2023
Indianapolis Colts,12.51,23,84,120,848,4,15,16,14,2023
Detroit Lions,12.22,21,83,121,941,6,12,13,13,2023
Jacksonville Jaguars,12.22,21,74,114,911,6,12,14,11,2023
Seattle Seahawks,12.08,20,82,115,901,5,11,18,7,2023
Pittsburgh Steelers,12.07,19,67,97,675,4,6,14,10,2023
New York Jets,12.05,18,74,110,778,6,12,17,15,2023
New Orleans Saints,11.69,17,74,111,785,7,7,9,9,2023
Los Angeles Chargers,11.66,16,82,112,828,4,8,13,11,2023
Green Bay Packers,11.62,15,73,108,872,7,12,21,19,2023
Kansas City Chiefs,11.30,14,84,119,801,5,8,14,8,2023
Minnesota Vikings,11.29,13,86,111,751,5,11,15,16,2023
Buffalo Bills,11.09,12,86,117,786,4,10,15,13,2023
Las Vegas Raiders,10.94,11,90,119,826,3,7,16,10,2023
San Francisco 49ers,10.60,10,80,116,703,2,5,10,5,2023
Baltimore Ravens,10.58,9,73,102,735,3,5,11,8,2023
Washington Commanders,10.44,8,66,95,665,5,10,18,13,2023
Dallas Cowboys,10.07,7,62,91,686,5,6,12,9,2023
Arizona Cardinals,9.83,6,59,89,683,6,13,15,6,2023
Tennessee Titans,9.73,5,71,94,706,3,8,12,2,2023
New York Giants,9.69,4,73,110,785,4,8,16,14,2023
New England Patriots,9.44,2,73,107,696,2,11,19,11,2023
Carolina Panthers,9.44,2,61,85,666,2,16,14,7,2023
Cleveland Browns,9.26,1,67,91,570,7,7,9,8,2023
