Team,Avg,Rank,Rec,Target,Yds,TD,RZ_Touch,RZ_Target,RZ_G2G,Year
New York Jets,10.13,32,70,103,814,10,12,18,10,2020
Cleveland Browns,10.05,31,77,107,750,9,16,25,9,2020
Buffalo Bills,8.73,30,74,110,812,5,13,19,9,2020
Miami Dolphins,8.54,29,58,93,695,5,8,12,4,2020
Houston Texans,8.51,28,55,78,547,5,10,14,7,2020
Seattle Seahawks,8.39,27,63,95,703,6,8,12,6,2020
Los Angeles Chargers,7.39,26,61,91,615,7,8,13,2,2020
Denver Broncos,7.25,25,75,103,873,5,10,13,4,2020
Cincinnati Bengals,7.00,24,72,110,852,6,14,22,10,2020
Baltimore Ravens,6.99,23,75,105,777,4,10,14,8,2020
New Orleans Saints,6.94,22,67,109,621,7,12,19,10,2020
Arizona Cardinals,6.91,21,67,109,751,2,8,15,8,2020
Philadelphia Eagles,6.79,20,60,85,598,7,9,11,6,2020
Kansas City Chiefs,6.76,19,83,114,947,9,12,14,9,2020
Las Vegas Raiders,6.69,18,74,116,835,6,9,24,11,2020
New England Patriots,6.21,17,62,85,686,3,5,10,6,2020
San Francisco 49ers,5.72,16,33,57,306,3,6,10,8,2020
Los Angeles Rams,5.71,15,56,95,577,6,11,16,6,2020
Atlanta Falcons,5.54,14,71,100,668,7,11,21,10,2020
Washington Commanders,5.21,13,57,89,540,5,6,9,3,2020
Indianapolis Colts,4.93,12,63,94,618,3,8,13,3,2020
Tampa Bay Buccaneers,4.91,11,80,109,749,8,13,21,7,2020
Jacksonville Jaguars,4.88,10,58,81,732,12,12,15,7,2020
Green Bay Packers,4.83,9,48,72,478,2,7,13,5,2020
Tennessee Titans,4.72,8,68,92,727,7,14,23,7,2020
Carolina Panthers,4.52,7,78,110,804,6,10,18,7,2020
Detroit Lions,4.40,6,55,82,636,8,10,14,8,2020
Chicago Bears,4.29,5,73,100,771,11,14,21,10,2020
New York Giants,3.90,4,60,88,652,2,9,15,8,2020
Minnesota Vikings,3.56,3,54,79,673,2,4,12,5,2020
Pittsburgh Steelers,3.22,2,54,96,552,3,8,18,8,2020
Dallas Cowboys,2.45,1,55,77,566,6,13,15,6,2020
Cincinnati Bengals,12.32,32,96,133,1083,8,15,21,8,2021
Los Angeles Chargers,11.21,31,85,129,1021,12,16,26,15,2021
Cleveland Browns,10.36,30,81,115,701,7,11,20,9,2021
Indianapolis Colts,9.96,29,103,143,1034,8,20,25,10,2021
Green Bay Packers,9.86,28,88,120,871,8,17,18,8,2021
Houston Texans,9.75,27,81,110,954,8,15,17,12,2021
New York Jets,9.64,26,92,126,1113,8,11,20,9,2021
Seattle Seahawks,9.62,25,82,113,896,9,12,18,7,2021
Baltimore Ravens,9.44,24,98,141,976,6,13,19,9,2021
Philadelphia Eagles,9.24,23,101,129,957,13,21,27,11,2021
Jacksonville Jaguars,8.67,22,81,115,894,5,7,16,8,2021
Tampa Bay Buccaneers,8.61,21,92,128,862,6,12,20,11,2021
Las Vegas Raiders,8.51,20,82,122,898,9,8,13,5,2021
Detroit Lions,8.40,19,86,123,1071,6,11,20,6,2021
Kansas City Chiefs,8.38,18,80,110,853,5,8,17,7,2021
Minnesota Vikings,8.31,17,68,106,811,5,9,15,6,2021
Tennessee Titans,8.11,16,67,110,612,3,4,14,10,2021
New York Giants,7.85,15,86,127,792,6,18,34,8,2021
Washington Commanders,7.69,14,86,123,965,5,9,18,4,2021
Miami Dolphins,7.56,13,73,100,880,6,12,13,7,2021
Denver Broncos,7.55,12,62,94,613,2,6,14,3,2021
Dallas Cowboys,7.18,11,76,108,862,6,11,14,5,2021
Los Angeles Rams,6.89,10,82,113,806,4,11,17,7,2021
Atlanta Falcons,6.88,9,67,97,709,9,13,19,7,2021
Pittsburgh Steelers,6.68,8,76,109,759,4,10,18,9,2021
San Francisco 49ers,6.49,7,61,85,560,5,14,22,9,2021
New Orleans Saints,6.22,6,74,122,714,3,13,20,8,2021
Carolina Panthers,6.19,5,79,121,798,6,12,19,10,2021
Buffalo Bills,5.48,4,42,75,491,3,6,8,4,2021
Chicago Bears,5.46,3,55,87,551,5,7,17,7,2021
New England Patriots,5.37,2,40,72,385,4,7,16,7,2021
Arizona Cardinals,4.35,1,43,72,428,-,4,13,4,2021
Denver Broncos,15.13,32,84,117,911,10,13,19,12,2023
Tampa Bay Buccaneers,14.59,31,103,154,1074,7,11,21,19,2023
Cincinnati Bengals,14.40,30,97,121,993,5,7,12,7,2023
Chicago Bears,13.68,29,92,126,742,7,17,16,15,2023
Atlanta Falcons,13.59,27,92,127,929,4,7,9,2,2023
Houston Texans,13.59,27,90,119,838,5,6,11,12,2023
Miami Dolphins,13.27,26,85,116,853,7,5,11,11,2023
Los Angeles Rams,13.20,25,65,96,732,6,6,11,9,2023
Philadelphia Eagles,12.55,24,83,111,832,6,7,10,12,2023
Indianapolis Colts,12.51,23,84,120,848,4,15,16,14,2023
Detroit Lions,12.22,21,83,121,941,6,12,13,13,2023
Jacksonville Jaguars,12.22,21,74,114,911,6,12,14,11,2023
Seattle Seahawks,12.08,20,82,115,901,5,11,18,7,2023
Pittsburgh Steelers,12.07,19,67,97,675,4,6,14,10,2023
New York Jets,12.05,18,74,110,778,6,12,17,15,2023
New Orleans Saints,11.69,17,74,111,785,7,7,9,9,2023
Los Angeles Chargers,11.66,16,82,112,828,4,8,13,11,2023
Green Bay Packers,11.62,15,73,108,872,7,12,21,19,2023
Kansas City Chiefs,11.30,14,84,119,801,5,8,14,8,2023
Minnesota Vikings,11.29,13,86,111,751,5,11,15,16,2023
Buffalo Bills,11.09,12,86,117,786,4,10,15,13,2023
Las Vegas Raiders,10.94,11,90,119,826,3,7,16,10,2023
San Francisco 49ers,10.60,10,80,116,703,2,5,10,5,2023
Baltimore Ravens,10.58,9,73,102,735,3,5,11,8,2023
