Team,Avg,Rank,Rush_Att,Rush_Yds,Rush_TD,Rec,Target,Rec_Yds,Rec_TD,RZ_Touch,RZ_Target,RZ_G2G,Year
Philadelphia Eagles,44.28,32,13,91,2,241,373,2911,25,26,39,32,2023
Washington Commanders,42.98,31,23,127,-,195,289,2760,27,34,41,32,2023
Detroit Lions,39.99,30,19,66,1,228,357,3096,23,35,51,40,2023
Minnesota Vikings,37.82,29,7,37,-,248,362,2970,17,16,30,14,2023
Los Angeles Chargers,37.33,28,15,162,2,194,316,2825,19,24,34,27,2023
Tampa Bay Buccaneers,36.96,27,8,4,-,230,350,3133,15,16,35,17,2023
Los Angeles Rams,36.52,26,15,110,2,184,318,2505,13,14,23,11,2023
Tennessee Titans,36.48,25,16,70,-,233,334,2778,13,17,42,23,2023
Jacksonville Jaguars,36.31,24,12,102,1,221,350,2743,19,18,39,25,2023
New York Giants,36.27,23,16,120,4,229,358,2809,15,31,50,26,2023
Cincinnati Bengals,35.95,22,18,167,1,178,295,2862,16,19,36,23,2023
Seattle Seahawks,34.89,21,18,94,2,224,339,2734,14,27,34,25,2023
San Francisco 49ers,34.34,20,15,71,-,220,333,2396,16,25,45,31,2023
Miami Dolphins,33.31,19,13,57,-,205,307,2478,15,19,30,27,2023
Arizona Cardinals,32.64,18,9,54,-,188,272,2330,15,23,37,19,2023
Indianapolis Colts,32.31,17,6,17,-,190,302,2467,15,16,29,22,2023
New England Patriots,32.09,16,10,92,-,211,332,2509,14,24,37,24,2023
Chicago Bears,32.08,15,8,37,-,194,312,2340,16,26,43,18,2023
Pittsburgh Steelers,31.71,14,8,44,-,164,276,2303,9,12,27,16,2023
Green Bay Packers,31.51,13,18,136,1,195,292,2431,13,23,36,14,2023
Houston Texans,30.72,12,10,54,1,174,266,2394,8,14,30,18,2023
Las Vegas Raiders,30.40,11,10,65,-,198,299,2430,15,22,33,27,2023
Baltimore Ravens,30.34,10,13,29,-,211,373,2254,11,23,53,32,2023
New Orleans Saints,30.32,9,16,99,1,183,311,2363,12,24,40,19,2023
Denver Broncos,29.76,8,12,70,1,182,281,2442,11,14,33,17,2023
Buffalo Bills,29.47,7,18,151,1,193,291,2168,13,22,28,18,2023
Atlanta Falcons,29.12,6,14,40,-,165,276,2044,16,19,29,22,2023
Dallas Cowboys,28.70,5,14,111,1,169,287,2197,11,21,30,20,2023
Cleveland Browns,27.49,4,26,127,1,167,318,2076,13,13,31,23,2023
Kansas City Chiefs,26.43,3,17,102,-,183,323,2119,11,20,39,10,2023
Carolina Panthers,26.05,2,14,103,1,147,234,1676,8,10,21,13,2023
New York Jets,21.34,1,15,74,-,137,220,1570,5,10,18,10,2023
